SampleID	Env	SourceSink	id
D21E05D	Duodenum	Source	45
D21E05J	Jejunum	Source	45
D21E06D	Duodenum	Source	46
D21E06J	Jejunum	Source	46
D21E07D	Duodenum	Source	47
D21E07J	Jejunum	Source	47
D21E08D	Duodenum	Source	48
D21E08J	Jejunum	Source	48
D21E09D	Duodenum	Source	49
D21E09J	Jejunum	Source	49
D21E10D	Duodenum	Source	50
D21E10J	Jejunum	Source	50
D28E01D	Duodenum	Source	51
D28E01J	Jejunum	Source	51
D28E02D	Duodenum	Source	52
D28E02J	Jejunum	Source	52
D28E03D	Duodenum	Source	53
D28E03J	Jejunum	Source	53
D28E04D	Duodenum	Source	54
D28E04J	Jejunum	Source	54
D28E05D	Duodenum	Source	55
D28E05J	Jejunum	Source	55
D28E06D	Duodenum	Source	56
D28E06J	Jejunum	Source	56
D28E07D	Duodenum	Source	57
D28E07J	Jejunum	Source	57
D28E08D	Duodenum	Source	58
D28E08J	Jejunum	Source	58
D28E09D	Duodenum	Source	59
D28E09J	Jejunum	Source	59
D28E10D	Duodenum	Source	60
D28E10J	Jejunum	Source	60
D35E01D	Duodenum	Source	61
D35E01J	Jejunum	Source	61
D35E02D	Duodenum	Source	62
D35E02J	Jejunum	Source	62
D35E03D	Duodenum	Source	63
D35E03J	Jejunum	Source	63
D35E04D	Duodenum	Source	64
D35E04J	Jejunum	Source	64
D35E05D	Duodenum	Source	65
D35E05J	Jejunum	Source	65
D35E06D	Duodenum	Source	66
D35E06J	Jejunum	Source	66
D35E07D	Duodenum	Source	67
D35E07J	Jejunum	Source	67
D35E08D	Duodenum	Source	68
D35E08J	Jejunum	Source	68
D35E09D	Duodenum	Source	69
D35E09J	Jejunum	Source	69
D35E10D	Duodenum	Source	70
D35E10J	Jejunum	Source	70
D42E01D	Duodenum	Source	71
D42E01J	Jejunum	Source	71
D42E02D	Duodenum	Source	72
D42E02J	Jejunum	Source	72
D42E03D	Duodenum	Source	73
D42E03J	Jejunum	Source	73
D42E04D	Duodenum	Source	74
D42E04J	Jejunum	Source	74
D42E05D	Duodenum	Source	75
