SampleID	Env	SourceSink	id
D01E10C	Cecum	Source	10
D01E10I	Ileum	Source	10
D04E01C	Cecum	Source	11
D04E01I	Ileum	Source	11
D04E02C	Cecum	Source	12
D04E02I	Ileum	Source	12
D04E03C	Cecum	Source	13
D04E03I	Ileum	Source	13
D04E04C	Cecum	Source	14
D04E04I	Ileum	Source	14
D04E05C	Cecum	Source	15
D04E05I	Ileum	Source	15
D04E06C	Cecum	Source	16
D04E06I	Ileum	Source	16
D04E07C	Cecum	Source	17
D04E07I	Ileum	Source	17
D04E08C	Cecum	Source	18
D04E08I	Ileum	Source	18
D04E09C	Cecum	Source	19
D04E09I	Ileum	Source	19
D04E10C	Cecum	Source	20
D04E10I	Ileum	Source	20
D07E01C	Cecum	Source	21
D07E01I	Ileum	Source	21
D07E02C	Cecum	Source	22
D07E02I	Ileum	Source	22
D07E03C	Cecum	Source	23
D07E03I	Ileum	Source	23
D07E04C	Cecum	Source	24
D07E04I	Ileum	Source	24
D07E05C	Cecum	Source	25
D07E05I	Ileum	Source	25
D07E06C	Cecum	Source	26
D07E06I	Ileum	Source	26
D07E07C	Cecum	Source	27
D07E07I	Ileum	Source	27
D07E08C	Cecum	Source	28
D07E08I	Ileum	Source	28
D07E09C	Cecum	Source	29
D07E09I	Ileum	Source	29
D07E10C	Cecum	Source	30
D07E10I	Ileum	Source	30
D14E01C	Cecum	Source	31
D14E01I	Ileum	Source	31
D14E02C	Cecum	Source	32
D14E02I	Ileum	Source	32
D14E03C	Cecum	Source	33
D14E03I	Ileum	Source	33
D14E04C	Cecum	Source	34
D14E04I	Ileum	Source	34
D14E05C	Cecum	Source	35
D14E05I	Ileum	Source	35
D14E06C	Cecum	Source	36
D14E06I	Ileum	Source	36
D14E07C	Cecum	Source	37
D14E07I	Ileum	Source	37
D14E08C	Cecum	Source	38
D14E08I	Ileum	Source	38
D14E09C	Cecum	Source	39
D14E09I	Ileum	Source	39
D14E10C	Cecum	Source	40
D14E10I	Ileum	Source	40
D21E01C	Cecum	Source	41
D21E01I	Ileum	Source	41
D21E02C	Cecum	Source	42
D21E02I	Ileum	Source	42
D21E03C	Cecum	Source	43
D21E03I	Ileum	Source	43
D21E04C	Cecum	Source	44
D21E04I	Ileum	Source	44
D21E05C	Cecum	Source	45
D21E05I	Ileum	Source	45
D21E06C	Cecum	Source	46
D21E06I	Ileum	Source	46
D21E07C	Cecum	Source	47
D21E07I	Ileum	Source	47
D21E08C	Cecum	Source	48
D21E08I	Ileum	Source	48
D21E09C	Cecum	Source	49
D21E09I	Ileum	Source	49
D21E10C	Cecum	Source	50
D21E10I	Ileum	Source	50
D28E01C	Cecum	Source	51
D28E01I	Ileum	Source	51
D28E02C	Cecum	Source	52
D28E02I	Ileum	Source	52
D28E03C	Cecum	Source	53
D28E03I	Ileum	Source	53
D28E04C	Cecum	Source	54
D28E04I	Ileum	Source	54
D28E05C	Cecum	Source	55
D28E05I	Ileum	Source	55
D28E06C	Cecum	Source	56
D28E06I	Ileum	Source	56
D28E07C	Cecum	Source	57
D28E07I	Ileum	Source	57
D28E08C	Cecum	Source	58
D28E08I	Ileum	Source	58
D28E09C	Cecum	Source	59
D28E09I	Ileum	Source	59
D28E10C	Cecum	Source	60
D28E10I	Ileum	Source	60
D35E01C	Cecum	Source	61
D35E01I	Ileum	Source	61
D35E02C	Cecum	Source	62
D35E02I	Ileum	Source	62
D35E03C	Cecum	Source	63
D35E03I	Ileum	Source	63
D35E04C	Cecum	Source	64
D35E04I	Ileum	Source	64
D35E05C	Cecum	Source	65
D35E05I	Ileum	Source	65
D35E06C	Cecum	Source	66
D35E06I	Ileum	Source	66
D35E07C	Cecum	Source	67
D35E07I	Ileum	Source	67
D35E08C	Cecum	Source	68
D35E08I	Ileum	Source	68
D35E09C	Cecum	Source	69
D35E09I	Ileum	Source	69
D35E10C	Cecum	Source	70
D35E10I	Ileum	Source	70
D42E01C	Cecum	Source	71
D42E01I	Ileum	Source	71
D42E02C	Cecum	Source	72
D42E02I	Ileum	Source	72
D42E03C	Cecum	Source	73
D42E03I	Ileum	Source	73
D42E04C	Cecum	Source	74
D42E04I	Ileum	Source	74
D42E05C	Cecum	Source	75
D42E05I	Ileum	Source	75
D42E06C	Cecum	Source	76
D42E06I	Ileum	Source	76
D42E07C	Cecum	Source	77
D42E07I	Ileum	Source	77
D42E08C	Cecum	Source	78
D42E08I	Ileum	Source	78
D42E09C	Cecum	Source	79
D42E09I	Ileum	Source	79
D42E10C	Cecum	Source	80
D42E10I	Ileum	Source	80
