featureid	fun1	fun9	fun24	fun34	fun58	fun64	fun70	fun82	fun86	fun112	fun113	fun117	fun141	fun153	fun157	fun166	fun188	fun193	fun212	fun218	fun229	fun231	fun233	fun241	fun248	fun251	fun258	fun260	fun267	fun271	fun272	fun273	fun274	fun291	fun295	fun325	fun329	fun330	fun332	fun343	fun344	fun417	fun542	fun558	fun572	fun592
10	0.5577350102236609	0.10052677737258689	-0.2048918722842021	0.3303089113017713	0.39679759058834163	0.1616002489453281	-0.482429651896136	0.9363008572595198	0.7231032977932663	1.4513187058927453	1.224297264516736	-1.749449575337955	0.9784449458291834	-1.0979462570315108	2.0638065535837056	0.23467432497231291	-0.9566709900178596	2.040533700006162	0.7493993285617725	0.9010046943394043	-1.2672340031303269	-0.23199782131406516	0.021488625299712065	-0.36372497304009627	-0.3850289127815571	0.7122582271863691	-2.0783548634270073	2.189426817463034	1.6345726895188597	0.4625219939666516	-0.39721776140153303	0.06298196775779068	0.9461055742270242	-0.9714508420753484	1.1270014367071983	-0.1937788570996136	0.9710059973908649	-1.0130247209501082	0.06883228650917288	0.8237969992824121	-1.417801381595142	-0.6218916449273965	-0.13805156648577951	0.48033796491628833	0.8962353553974531	0.9587031792020868
25	-0.7109860755063242	0.007935549237307243	-0.5303869769831202	-1.344747249168094	-0.492575282012377	-1.089147816281087	-0.44273344745720306	-2.2902709085715407	0.5244869596406285	0.2239268036541504	0.04090466433655582	0.5453424746555362	-0.7089497278308131	-0.8877127673662872	-0.22696121769761124	-1.5045607023405498	-0.6305161103254955	-0.72573581476856	-0.47297482877574326	-0.5971911621551802	-0.25262439389736535	-0.16340634203470267	-0.43591809722220287	-0.21909382200701294	0.8058519134145463	0.39239914767582684	0.47542386566491857	-0.8779831045709448	0.13176923876698998	-1.7439421363948597	0.49376030439148827	-1.1395809411777533	-0.9367774344187244	-1.0520854875313455	-1.1623671350399758	0.3450258790450763	-1.2722330176895165	-0.22121558570552047	-0.07043236592441766	-1.5666403282457484	-1.2860763961594022	-0.6502371352686368	-0.12399942498491653	0.6252572045436696	-1.114539742523918	-1.4122256066614653
34	2.275768122617726	-1.9164270845971203	1.9389973049916502	-0.632603566100694	1.212136863360207	-1.9413235227310006	-2.191252727705997	-2.3277270631290654	-2.075091625843725	2.335709064872875	-2.2520378843100377	-2.734332951466648	-3.2945140218381903	2.0490853556638156	-3.2564520868339573	-4.226312335834822	-1.2014009460697963	-8.446096378181386	-1.9129949250438147	2.7810356114267485	-1.7524265646644865	-6.767319972845113	-2.1252888050630165	-0.734112766171503	0.7895184741777435	-1.49960884812273	0.4831714067559094	-3.704072647314933	-1.0282435864406225	-1.608396603254578	-2.546609066715225	-2.671276211451277	1.537021790733478	-1.5539285308378363	1.2210809588695706	-3.482546428804728	1.0330142459748926	-3.531256681020974	-5.065945486952827	0.9596990658917077	-0.8972224356373903	-0.13461956934828112	-1.8045364882065313	1.9740815201378488	-4.330649388674532	-2.321256743639573
70	-3.234414526974419	-0.9329972850360131	-1.7718181429627915	-2.0663620985667985	-2.303851361077396	-1.7795240355174153	-3.0922395354556356	-1.4326012780325974	-3.339783690655433	-3.9265148989848826	-2.328181615076201	-0.6668033911730438	-1.2521422810480463	-2.4142376194895405	0.9869772471176246	-0.15515380632919015	-1.4524395569028714	1.5559170847826782	-1.4181535643742076	-3.95522337935145	-2.092765278122452	1.5580472989606327	-2.067502288407569	-3.1378150633760744	-2.4847992706766178	-1.7533472716596283	-2.091334933702102	-0.5381022307249252	-3.1079347953282928	-2.860273929867631	-2.5844320549035564	0.49676300810991386	-3.086820387103595	-1.6679498970720146	-2.3282022477410154	-1.8633706873234557	-2.2184625015441473	-1.8071102488022905	-0.14580022882006588	-0.7955471203647018	-2.120196213155297	-2.4500897174948584	-0.7236767862482227	-3.7596942297391975	0.25455279209199455	-0.4206240190039816
121	-0.9778956226253064	2.8700420267400597	3.427489184106731	-2.399443946800525	1.1177377128025845	-2.4034782993266433	-4.986153022529509	-4.7950175408369	-3.171926196448978	-0.6319077029448583	-1.566422383714222	4.050412023751264	-1.4246785704377332	0.7468442916098594	6.481476964751564	-1.2128107536052977	0.5430124531576928	1.0182693678313162	0.241162728604556	-2.258052233152167	-1.0499037880715072	4.31668933222152	-1.8444825971881313	-2.903920571335686	3.3228703608203247	1.8692305599359478	3.3059952251191316	-0.17946075595734756	-2.259611072333778	-6.8626178783918395	-1.5507511980237803	3.402836633463641	-1.939429747180343	-1.5482502079280134	-0.6048388409950984	-0.8426638280888287	-0.7677618445193168	-2.1472459497424605	1.425816191977463	2.6431755525815204	-2.730186060773031	-1.2524251816061645	3.289131530998248	0.4420519802657209	0.8621846872719368	0.4048183954194373
193	1.3683537493691647	-2.0402759618456114	-2.121888783753926	0.3056427414063262	-0.3706789909332504	0.3150861790035451	3.620211619792755	-0.08377683871318242	3.9654147249633036	2.8677301271548923	1.635083125868793	-2.316997004237784	-0.2827580860500075	-0.5015312166873771	-6.012085224476064	-2.306130448565699	-1.0287881151148683	-4.248972779672517	-0.7351270523160659	2.845704456459357	0.825705342063201	-5.351352537558467	1.0127888947821775	2.8217922610991013	0.07409930791113345	-0.3182484467481772	-0.6494447072804785	-1.7992607103420712	2.837021599257992	2.952036646962169	2.3699023474855374	-4.934379235207247	1.481595200652512	-0.1942187820264104	-0.18363391330404433	1.1513444177942729	-0.3229563947004017	1.1603335250607412	-2.1212979802309255	-3.777964903736959	0.5973979858804288	0.8345786210189755	-2.6019488971867744	2.5901877928814225	-3.352861749596696	-2.798041665066644
241	1.1206587598706743	0.5584323367395483	1.2153613636282827	1.7994728705876004	1.012807381332006	1.503182316404321	0.5555427945203695	2.7722411060265153	-0.4789107260613019	0.024348231258779496	0.2097376688236796	0.009949387410691068	1.1232422162123155	1.4585002075799889	1.0920976318657116	2.0971926902649747	1.1584495480946986	1.3438632212913206	0.9483887267101482	0.891349115011421	0.6011976069623792	0.8971998321201922	0.7632587677134736	0.4226504543033173	-0.3799756333309396	0.02483757160463229	0.021313462663588467	1.410300295903863	0.04349893399498006	1.972833186405995	-0.3228194955962402	1.9715287778673003	1.3273648558817168	1.5194150856229736	1.6909942478495146	-0.09038822256414222	1.8127294075849987	0.49863824813871993	0.5731145495915659	2.4021023308835714	1.714031973018161	1.049155343127456	0.7451756260782498	-0.3749408626379682	1.7737035205787905	2.083908298202605
254	-0.20155068010226018	-4.424312889229097	-3.797203109490371	0.611872202489891	-2.16446143407386	0.21997661383642986	1.8744733063297323	2.5862907352733004	0.009730876583725623	-0.9145968602064412	-1.0485887998044467	-5.770252959687865	-1.0122432126105885	-1.504884121423985	-7.416011444657426	-0.9839298897150377	-2.145930811917253	-3.9858687769439345	-2.1397379711744633	0.8471001561257341	-1.1981586237191604	-6.478052267913535	-0.5704825291455108	0.442326527843172	-4.600334228693825	-3.744054245526178	-4.4854667168241	-1.991987072886674	-0.2982135134399937	4.08775956257733	-1.3359526200418033	-4.441874261904195	0.503963499979477	-0.3817887627682851	-0.495454731785391	-2.0121275327231096	-0.3536153049304893	-0.7266932523478031	-3.912661283169585	-2.8899611216985552	0.7924422032605856	-0.5135316917026346	-4.663778449621446	-2.01960730227625	-2.8170997622956313	-1.898554033104042
261	-0.0767848416339254	-1.4316519924155922	-3.6425286388037588	0.9926959503305216	-1.361851801522914	1.6833936569109509	4.960504874652421	2.181429765571631	4.704327647914487	0.9373091927603343	2.631783558053026	-1.5073170344711107	1.6903161251019672	-1.8017777636137866	-4.643766032258154	0.5945877608132475	-0.4549168345581327	0.7637911799396488	0.21099595228339807	1.0968978735222363	1.6339713070796638	-1.767780002670461	2.1668691062896865	3.0752562020459986	-1.3566804401114112	-0.09732464684838904	-1.7370252411061973	0.44342852499628593	3.0754661549322626	4.620290321187952	3.3394949250857757	-3.359417437834369	0.6343090468785401	0.8838861205278677	-0.7945787347981543	2.728471086898483	-0.7607776614864434	3.0889037237852666	0.5110378774923015	-4.188991924919473	1.4368689438902882	0.846991260917708	-2.0192368265518996	0.6484221619372211	-0.6633724013391009	-1.1769925841669666
370	-0.8430376533417221	0.4133586916599865	0.24570442625437397	-0.4098235146292951	-0.2560050287715532	-0.34415791528690565	-1.3172904545521678	-0.24978029741789742	-1.3955854215052501	-1.2716632786256938	-0.6946375619184368	0.5578474033587695	-0.08863670108457511	-0.2649411205929224	1.6737975431140004	0.543966676989408	0.05153525452896268	1.3516419803741218	-0.003865205220014434	-1.3134314870000223	-0.4755224227512358	1.6373843306062021	-0.5250655808273256	-1.131444888999065	-0.3244080422500097	-0.11855428166711901	-0.09812527432522611	0.38421467555163025	-1.1143125228184236	-1.1883489929053364	-0.8860564190281435	1.2896868979709806	-0.8532220788955024	-0.20248407753026976	-0.33910808018053107	-0.47762890750680065	-0.29172941231227156	-0.496868041009372	0.5773385916569151	0.7560233944299988	-0.48125811377718986	-0.5668038968740051	0.5755232020760959	-1.154197079953597	0.880889298935712	0.6100796208298176
