Eigvals	3
219.46476417887698	212.7785379487311	181.04384147502722

Proportion explained	3
0.38160490571527844	0.3587071096532274	0.2596879846314941

Species	65	3
bac22	-47.66542939211821	-6.191392844946832	-27.80751807635141
bac50	-22.27046709937599	-16.874780372630315	-10.187652317455468
bac62	27.023711054993836	32.2803125944477	28.02574687285203
bac84	9.514410976235999	23.56844256336451	1.0288332042932908
bac93	36.469470094772156	20.9523022026743	0.08145954527091376
bac94	-5.8123570860484515	19.648596637568282	4.889013502921342
bac96	-3.046267597480636	-5.615446421440615	58.437039218929826
bac103	-8.737070851069515	-22.679162287335906	37.67033031768465
bac105	-37.13538522117392	43.91514452152643	14.645988595975941
bac106	-0.5970790428648253	-6.630378413522281	-13.30561447103456
bac108	-26.55603506969645	30.192386979723512	-32.686085061143174
bac110	-62.547867972731865	-10.42778853217065	-5.954508142308062
bac129	-37.0399976699792	29.18234798349386	-22.089901208443887
bac161	-7.50341817751367	32.14448320175507	4.288238649557518
bac165	35.54293473716298	-44.45790583832145	16.974577563379036
bac169	46.69572080960829	-17.421519184329366	-26.169632799848344
bac174	20.999837304499376	-13.667297155889113	8.234712019544961
bac180	31.821355691354395	17.960334746577868	-34.544737518947215
bac181	-11.332775622513344	-3.015580185893423	48.62151515667653
bac185	34.52754618062094	-34.90691713592997	17.784739375264547
bac191	-4.106826610230871	1.1623275728692133	5.487636617111672
bac197	30.11897319138229	-22.89996873934192	-1.959556628382723
bac219	15.398150747294796	-14.146417730405426	0.7188537817566858
bac221	-17.60793099373795	-10.45318986561073	-5.871817498025033
bac224	-14.034470209504978	-5.410733532970569	-20.407975453129872
bac232	29.821136787226898	16.12709078184125	-4.273295980412905
bac233	-27.799315633232776	70.25817871706181	-32.516017007233366
bac236	11.873899076896935	15.52669477405291	25.60483638898269
bac241	24.717323309546494	30.459838146834702	-10.111494591590942
bac249	5.9141107479135115	22.121720567503296	-10.14032088574033
bac252	11.670123672696876	-14.227581019115531	-18.081300154690688
bac253	-47.8860166688689	27.946140999499345	12.844254200755442
bac255	22.358953794482634	-13.10037840235399	26.78522884869373
bac261	13.299567729506206	12.063529133346623	28.54950479249599
bac266	14.279288021775967	-21.076141170112095	2.950751608261722
bac271	10.765523258778785	15.612537937409389	25.77138898545353
bac272	-37.990734189712015	12.555195981894034	33.32612821573501
bac300	42.059331050355524	0.051522963845021724	-19.850496191058284
bac302	-30.3286894694612	-39.184188266662794	20.757030636447332
bac313	25.80036026765602	-29.452581642776803	-12.040217595921112
bac325	-17.63242375168852	-12.459225489249382	-12.871053758800223
bac326	8.945913841725154	8.902169304518303	6.174918867542048
bac327	53.66243815245865	-5.523086522832893	7.9259226787055015
bac330	-17.093008739306743	1.9158460477965404	-44.81594958952321
bac332	-10.424571239378903	-11.014039429067438	6.895514750419735
bac343	-10.788734615290675	-19.843314291267937	18.236918607939877
bac370	-4.5371704304836635	-36.3339752049079	-0.5614417890112486
bac391	25.823468041175587	9.647368057711063	-28.511356295971407
bac396	-56.773812929484784	-8.842413678082341	-5.655216236156946
bac410	47.836269129221165	17.622946176579713	-18.654509656490685
bac424	33.809773201943685	43.50194493597647	35.5572316655228
bac447	-8.020433099868741	26.779054703858318	19.331710175681383
bac452	-27.20108031898904	-46.54964491381058	19.814989703726635
bac458	23.955237371303554	-60.95509152093903	-34.9953526024795
bac460	0.9488951568263448	5.451921748958056	-11.25240064003965
bac482	-19.81920893041678	-19.4723145524613	-0.14192560514314131
bac483	-3.9982240479687197	-19.549645383043753	-20.839190439442227
bac485	-13.379312344667753	55.997044480110475	11.878787299830504
bac487	-26.260841622453228	-34.49228832355894	-33.136872074283794
bac493	-27.657757450714758	-56.71871516128548	8.76848205124755
bac495	-25.203413055491875	-6.9396883526428805	3.427950929466114
bac497	3.2403053506592787	-5.134050394425823	1.3217971803818152
bac499	-27.9826309073843	2.793369460836461	-9.385142781263847
bac500	21.056492189061856	17.227784739743583	-52.208571570161226
bac528	26.82023712176714	32.09826329595744	18.215092611976107

Site	641	3
10	-0.00018287875432395115	-0.006513131253066442	0.005151148795702355
25	0.016827840105688417	0.03050509434251353	-0.0043807501403350015
34	-0.03140016773222785	0.07485836452890848	0.02175926478466011
70	-0.03450852860702235	-0.04764906782799285	-0.03110524929740306
121	-0.05898721304255462	0.03248084757190416	0.026230372635248373
193	-0.008293191593947835	-0.045050252386738	-0.021952560976532923
241	0.01571640330111143	0.014306927737673357	-0.017117582908298037
254	-0.039578996406428174	0.037544275059199564	-0.014844389886476031
261	-0.10570598219904495	0.00989368525729037	0.0257165202236213
370	-0.0014459782151856526	0.002521396222150631	-0.014012915874423456
395	0.07161524477281805	0.014846849470355599	-0.020782900515385925
408	0.014215725429665546	0.09323657069139117	0.02708293416731106
436	-0.056429095731292504	-0.0028749097856305516	0.029879917926180936
521	0.03580337643700323	0.05025987982841841	-0.023763384461901422
555	0.016723060375903476	0.02307303084353126	0.026638409171566554
710	0.03975761357037163	-0.004636188514831985	0.0945545011879473
834	0.05741085252602861	-0.07613623006455977	-0.012206180839231504
865	0.04352735953701943	0.036626348617485656	-0.022103303907479627
916	0.001161008992333161	0.0012819536165550444	0.012618844846045025
956	0.04917370737231322	-0.04797619201066468	-0.0071884380087948434
965	0.020927938239055942	-0.006443219687656519	0.04426060132586388
1486	-0.026903923474356953	0.053556397755254746	0.046637423015506316
1500	-0.002747223492407421	-0.03296669493734223	0.029074266544518296
1531	0.021556544222019133	-0.002356467409700065	0.023997146210694844
1726	0.030449085796577235	-0.021732914631010836	0.016518657816365086
1767	-0.06921762395483144	0.013729731250614956	-0.015486668012276527
1973	-0.003571172101805253	0.03606692982643275	0.010766730463715343
2097	-0.04226657573946811	0.039658246041372205	0.11355116207160877
2348	0.008354492413150347	-0.00871686135914432	-0.00043331588502439815
2480	0.0706117543925152	0.0015786253838139556	-0.017963092880685094
2497	0.031619286656367804	0.0675986471901823	0.01270521396063525
2651	-0.01578137497423178	0.08855470116451529	0.07798988889521313
2695	-0.013270286495370084	0.004705901377854196	0.06424656894354573
2715	0.007975033360466592	-0.028230653441211284	-0.015853001134677535
2895	0.028776790174378137	-0.04109322296328336	0.04923430687925969
2904	-0.016193288593083544	0.005469431269265818	-0.027027428400644198
2989	0.0612857043150795	0.010906693527724052	0.03273009687236622
2991	-0.028790776808709628	-0.052541300043441985	-0.028553748984725343
3066	-0.00987999898774335	0.09734095062694634	0.0388957472606065
3157	-0.058259580722374804	-0.0047804473753336706	-0.011716740465111043
3334	0.012049793529860717	0.002369701269789983	0.05367101014686855
3397	0.012138952484071637	0.023968696260006025	-0.021484103738250684
3512	0.021207028584895645	-0.03686545482491382	-0.031877210254600004
3524	0.056667308740461636	0.019130077067550016	-0.04462483660031361
3811	0.011534155980287841	-0.010162980965814992	0.040380604515157424
3821	0.011385774026090392	-0.04093311734229754	-0.02282856363951467
3888	-0.0013695079686362314	-0.024527158461363253	-0.0666089091192094
3931	-0.028897411252216197	-0.04909566478951758	0.04678505039558847
4017	-0.0702898313987592	0.006432264764398818	0.062471441937031746
4115	0.005930479565880026	0.03871270548921519	-0.07528150700696175
4191	-0.017997044263171415	-0.03381925402041629	0.05344256371815359
5335	-0.0027366071062833197	-0.011445902838839055	-0.020576553505062403
5367	-0.009168841080334798	0.033296236028004494	0.019992119159269413
5433	-0.00361731239510237	0.07988672934716634	0.011824286374343905
5467	-0.030791395907445597	0.005342471906629894	-0.056221668993534375
5573	-0.03138055269271397	0.036779058111492964	0.022619937156127246
5589	0.0017667985862274253	0.011067254236447837	-0.009898497611175096
5695	-0.022760787205260247	0.046933566973097585	0.06961052716185759
5743	-0.02981998275176253	0.02190890863005938	-0.054016685501596835
5748	-0.01359838283391215	0.048632250918446536	-0.069148277699248
5760	0.042754814123510496	-0.07580924103992268	-0.027929150764943827
5795	0.05029527495865456	-0.018444623220143466	0.04327193025519867
5799	0.012448543510519834	-0.03248459966785981	0.09379565133731473
5875	0.0920440509489833	0.057692282887600005	0.019840345236231547
6005	-2.8130529283976805e-05	0.02563897706682572	0.048309952075459794
6132	0.01379810897636185	0.09059104524345807	0.015726132854731487
6343	0.02383467329015724	0.004749235397946015	0.02939750968280616
6417	-0.013267252052778237	-0.01841028213558303	-0.06152914098154744
6437	-0.017634478962335574	-0.01590100589532471	-0.03352884700702672
6589	-0.024184041361961388	-0.03369140325332479	-0.004675720251197162
6593	-0.020119754222342995	-0.008041765055292421	-0.020114459035274798
6672	0.05970492232947864	0.07018104858578858	0.050424170681949
6688	0.037742560684333314	-0.012419512039055423	-0.04452174228006037
6762	0.016849300538583852	-0.006813312778781899	-0.01670705213572829
6946	-0.017174859737437823	0.024245517524741075	0.055168529144391666
6966	-0.020663780114392953	0.052299616336655946	0.03959490453918542
7151	0.0048099357564103055	-0.0647153907537183	-0.02237880700989381
34494	-0.07435264825572807	-0.03296710123141945	-0.08340367452119943
34532	-0.034021201096506665	-0.012912766441931036	0.0332782525206281
35345	-0.03738477925145515	0.00871795965689349	-0.024184347644219645
35349	0.02133908445758483	0.011001943888073129	0.07224467807820875
35456	-0.04397722456423148	-0.04165696862541459	-0.01858585432899677
35882	-0.02185775636122031	0.004140243629368941	-0.043267995680245794
36051	-0.0018068955418600833	0.010876124959558246	-0.04408379832277719
36254	-0.009306851137799792	-0.09028869575486724	-0.0368499027507707
36255	0.021184093269800405	-0.0540824932886697	0.012834764282844188
36672	0.014544383087099991	0.022189407244629165	-0.008059920097710256
36736	0.0015242463964018397	0.040297266756708756	-0.007314446242183125
40386	0.016388403250679896	-0.017533287228303912	0.03173635874928813
40995	-0.03014449768731459	0.03970429972050496	-0.0341453629396963
41041	0.029330857504043524	0.034440832751429507	0.01653932199579797
41163	0.03731971534598789	-0.01970605811930817	-0.03677169438448832
41556	-0.011523852273013108	0.0470847388974569	-0.03624194785175243
41670	-0.03148975886695081	-0.008659597521260578	0.049701210545646204
41821	0.10002258147020386	0.013327134767271306	0.023638193974495462
43187	0.028599961953517758	0.05137736836077099	-0.049289858685223176
43218	-0.0033118229546981897	-0.0023745653944963726	0.014884843158902032
43266	-0.008553650085125796	-0.015913493430450374	0.02425059929386352
43307	0.03232191321134995	-0.018602053498712637	-0.02055667788561106
43323	0.010733456781366224	0.021409949348933283	0.029478499333332367
43332	-0.015165628343107692	0.002833438477185622	-0.09832302025374258
43411	0.026739278323891263	0.05922571241702059	0.020801278215049283
43412	0.003923904912908389	0.0718546454917754	0.07882109710545476
43454	-0.011650861672018897	-0.019842711854112897	0.06058524753588649
43908	-0.06708417179226732	-0.03351140562333489	-0.029179530287783896
44006	0.026959053605974014	0.030401262620498838	-0.041678181190023936
44457	0.05771561896575373	-0.030369133425210214	0.009692732299446
44712	0.03369183275266797	-0.03750483408052935	-0.012605206369764367
44981	-0.00296739254506541	-0.0422191179046588	-0.022533175523635044
45090	-0.03310648850078729	-0.02164610013008895	-0.00046800339483036896
45411	0.035739649364433794	0.024404723331555692	-0.02545501973892509
45918	0.04049833692665847	-0.05853375398192147	0.04666825130060996
48363	-0.002550967897627699	0.008793596256399153	0.09325486158160695
53252	0.029230892294416878	0.004832317160072504	-0.020715849139449693
53346	-0.02820573317053863	0.010042766525311239	0.002095210318006667
53584	0.07293399361435375	-0.018904791687958736	-0.08156710952044556
53616	-0.02464532344039021	0.0573694936666541	0.0019671392671807785
53854	-0.011330081393921932	-0.04403335232093644	-0.01967871387359504
53860	0.045037476195764585	0.03663389533760213	-0.062386122015038147
57681	-0.011401119032181314	0.00018472320661029113	0.0021237948622548327
57927	0.05165713742545252	0.04870816482623049	-0.05146375079570916
57977	0.02072263356201292	0.053593916424450286	0.032792922815359664
58028	0.01954972247923077	0.015114366690224933	0.042821069402345494
58055	0.02748318342656614	-0.03373107950862294	0.04909564752151434
58069	0.023571211457018258	0.012845310901491073	0.006983691743522331
58084	-0.025579015326227042	-0.009220177806636608	0.06000588688047099
58122	0.06520507989449915	-0.043220680398121984	-0.07820613860886956
58161	0.03422941421316021	0.07879936353729627	-0.031378212624194726
58179	0.05787614326055392	0.014486179818883449	-0.0599602111292989
58191	-0.043067370608528235	-0.05340096005419511	-0.10919453909950769
58208	-0.01301511526623415	-0.017537318619394556	-0.03736236507914648
58262	-0.04379804349068261	0.01436224030975694	-0.06534603386364143
58332	-0.03281719741348272	0.005312086132751133	-0.06591691864491098
58335	-0.027231575089485864	-0.04953379423796057	0.009735142646031592
58362	-0.012891017247886558	-0.04035460795314081	0.011723234048756982
58386	0.011305878807967669	-0.0186709601334394	0.017086902749078165
58392	0.009224661913616917	0.014583136929942857	-0.042829977458480516
58401	-0.0074902307822339595	0.020281485414525728	-0.03521577155784345
58409	-0.022315071323995288	-0.020095043811448308	-0.0029552956369688944
58414	0.06442241304407004	-0.018427671828281474	-0.009094447772415354
58415	-0.015502977137582101	-0.04769961570632399	0.04518780911926632
58518	0.07583484255990182	-0.00817232722339983	-0.014370664993198126
58540	0.010607932482075637	-0.017953984617310518	0.036004235395746736
59322	-0.03578706078133621	0.006977219202453836	-0.022579444691062697
