featureid	bac22	bac50	bac62	bac84	bac93	bac94	bac96	bac103	bac105	bac106	bac108	bac110	bac129	bac161	bac165	bac169	bac174	bac180	bac181	bac185	bac191	bac197	bac219	bac221	bac224	bac232	bac233	bac236	bac241	bac249	bac252	bac253	bac255	bac261	bac266	bac271	bac272	bac300	bac302	bac313	bac325	bac326	bac327	bac330	bac332	bac343	bac370	bac391	bac396	bac410	bac424	bac447	bac452	bac458	bac460	bac482	bac483	bac485	bac487	bac493	bac495	bac497	bac499	bac500	bac528
73498	2.2691105058289573	1.4997824399766615	-1.3786791602664161	-0.06556889569929544	-0.38717689083901263	0.10390377481426509	-1.2559397431811359	-0.17832119460161747	-0.18887851421981616	1.098813757946827	1.4649131266586894	1.8407730492397003	1.2883868978174895	-0.07559632252494876	0.24278788904489412	1.020598253776598	0.19476326354137685	0.8841424347648289	-0.8562531034681836	0.058089734369530466	0.39285700699441617	0.5616184721985654	0.5341592640799203	1.173412828442172	1.513566653957989	-0.05642083447448948	0.7628930566937884	-0.7704136487425839	-0.042107371984589914	0.38310345322236505	1.2146589941800598	0.3132243220636137	-0.45033950739509687	-0.828994075400256	0.6041366263783714	-0.7601843251718895	-0.2351820797446278	0.5663273637636305	0.996879124298507	1.077269612013203	1.4423595206467414	0.035715258426595994	-0.4257112651845699	2.234028427942034	0.653647795361838	0.44219015601152356	1.2700782575259357	0.9215299285559158	1.7187805570516435	0.12469737702256445	-1.92731007610114	-0.4694773718905743	1.1119197592492016	2.431922290236188	0.794944616160314	1.1796765645808849	1.634925394608081	-0.667905797419128	2.6361995390327015	1.6696097710802826	0.9172097633862318	0.5321095378935009	1.2080610357697035	1.6393381610518631	-1.0439100266256893
73499	5.388136446373864	3.6650559245552596	-4.502305892009656	-1.242352801547074	-2.284362042112848	-0.5272684860435835	-2.702188833109359	0.10790645624805403	-1.2929793107930199	2.1872582213198655	2.356380193206127	4.862016952885304	2.1897398045013423	-1.2191992730097534	0.8544611084766164	1.5384789598248747	0.1413337444367807	0.5183541773184764	-1.804204109210019	0.22354239239685214	0.556241807208735	1.011087953795602	0.9544950959989965	2.7298861175458846	3.2363091465205738	-1.3538065415925036	-0.19929243916870742	-2.5243089698194177	-1.6397696703723184	-0.20870781114839654	2.4329374727584394	0.3759547749866192	-1.2384883009483711	-2.5716102331981188	1.3079114088848898	-2.4879265424428687	-0.5019785439689475	0.1855015280325038	3.369020188039604	2.336870386875305	3.344670366130167	-0.6154144680776462	-1.9153727398480815	4.584165289300554	1.5458446062997155	1.3566336214000612	3.4309942259669644	0.9268824039703882	4.4667757033153395	-1.3152738310794891	-6.070004394607812	-1.8815659084018275	3.7629251674385307	6.057841532370023	1.1904562186194636	3.028346690328661	3.7129310209643993	-3.0160180943162382	6.5829305580672415	5.210228171123833	2.22282525922071	0.9018694976713546	2.603849689431554	2.290322134110986	-3.801014129821723
73506	-1.7798981298995993	-0.2949776305345251	0.49895753354628525	0.01081042507805166	1.402113606683895	-0.6325902157979764	0.053657677629539324	0.3604803013734377	-2.9108290383201005	0.467130668624949	-1.8158812617490336	-2.460630746248604	-2.3341576870007055	-1.0839290355454605	3.238770986767246	3.138491241207016	1.6493297180118272	1.3965198053658052	-0.3915674837664588	2.900985751762234	-0.00023470117641388732	2.403490249669017	1.4179649091405717	-0.2740774793993268	-0.19331220564090584	1.2400433155143384	-3.0620952813595492	0.27229335148875283	0.5909120474832705	-0.08020218077401042	1.310637376934929	-2.9565081492241134	1.6288283579622524	0.43109424292381116	1.5644163515764826	0.21621414709685516	-2.094338970020563	2.3703765548824767	-0.13728098860586116	2.425991376819944	-0.18866502424165044	0.39963928249395914	2.9961481202263034	-0.4704719937761668	0.04355860385739696	0.24608139624710912	1.1123086770227173	1.3282650792087902	-2.225870166799091	2.1237055552588693	0.4706536099095143	-1.0054439848773924	0.23478393900529415	3.359574121514547	0.1802170480211811	-0.1335208498958354	0.7185702670391858	-2.106314063272225	0.12115279823817782	0.5587977120149475	-0.7798473583791802	0.5563187018758357	-1.1562235616581265	0.9579855390226044	0.5351869175760603
73510	-1.6388727270883439	-1.213763893780392	-3.2845045701406512	-2.6033413107933385	-2.071830816831624	-2.7613364851436057	-2.874781185455925	-1.8205332071426592	-4.420758810649064	-1.2299873139967346	-2.6770178127589346	-2.172507581612972	-3.0253112688798796	-3.276355639628751	0.17661775091708487	0.2014093262593718	-1.089726010882544	-1.261242804501482	-2.891009018330648	-0.2421735884954871	-2.0028116890554983	-0.3593884151450041	-0.9915887463333514	-1.495196828457072	-1.3234011518661433	-1.8810339753366472	-4.305763655342186	-2.7827906344920748	-2.403560539105937	-2.3555059583673192	-0.6315827047422025	-3.9050882560927853	-1.4986517790450102	-2.688876831687382	-0.7753251892002724	-2.805614914781209	-3.585138987826757	-0.7095268766929014	-1.113146422940091	0.05995376023939869	-1.260786517540026	-2.1347373246901804	-0.9189136878282954	-1.1316807601255083	-1.6445488251748945	-1.5429625552532769	-0.3718469932980333	-1.1504116264422621	-2.1536224691981496	-1.3564363801409183	-3.7952661221712853	-3.397312736710729	-0.7514848331278552	1.8033851255342492	-1.7331014857548592	-1.289712362593595	-0.5918821206121583	-4.490111614981517	-0.061836186182326336	-0.10470059319982203	-1.9519287841455553	-1.5509351503612117	-2.1046676443920713	-1.0100593598808139	-3.061424030295561
73832	2.2342966708869407	1.0144802873418515	-0.3750439778214667	0.2840243144468588	-0.8298083708260721	0.8308899604904543	0.20921469393885583	0.255279915837583	2.4012561124218665	0.3013952930293242	1.917586229410714	2.7058431970351924	2.293244095241051	1.0767557016122253	-1.7643649242611628	-1.7044061579191117	-0.7220388330667115	-0.5838799850419306	0.6046371183393815	-1.592522406185707	0.5018044632522409	-1.1893858851235426	-0.48388912498946535	0.9069658147882704	0.8793662447506083	-0.6178731865882747	2.537258130707813	0.004496662257529926	-0.19159777883852547	0.4395072459626096	-0.2802455890627502	2.6077983415516384	-0.8225382855782717	-0.11206602550806588	-0.5406476185926716	0.05043405176682347	1.9351628662746343	-1.2902277289114639	0.9342725309611893	-1.0797376883678944	0.9006042372780706	0.08467230029209476	-1.914154230660205	1.1743379651942762	0.5739768966958336	0.43122668918515594	0.004219405591973979	-0.47955825629821947	2.498099627397902	-1.2776392961361234	-0.5072457710916277	0.9784479627957852	0.7057525995624614	-1.3830360505425734	0.40808424779651764	0.8527835985359769	0.2809726188171944	1.6272305726201062	0.9926794890324334	0.6147728772949809	1.2360040316304817	0.12798739297627426	1.5219131574626212	-0.1145400201381015	-0.33761801634766336
73923	1.5286634071726675	0.4989322189363721	0.4830562169610362	-0.2548571674567506	-2.5396797897854038	1.1500933558903066	4.144782079925145	2.7010014556918276	4.939458735810202	-1.205911028655329	0.3756151635203283	4.175014315156421	1.9468677629248414	1.5448429634541998	-2.8415419594486946	-6.16094699632313	-1.5586745131950175	-4.712939671988575	4.166487396865425	-2.472855499995565	0.6113300679727325	-3.2408965475961424	-1.6612425721954853	0.5915959411694962	-0.6078061698407833	-2.435069749242224	1.4630708903736336	1.1176382254642536	-2.094208504831309	-0.8011230536270283	-2.707492124007598	5.278348308523101	-0.32838755168629397	1.1277898457353577	-1.5768301569488465	1.2211746882287557	5.578961916680464	-4.915715465716218	2.815785310492726	-3.7748538106713694	0.045694258439358815	-0.1970469708233112	-3.9930336641086823	-1.9321666811801046	0.9159071387318667	1.541828818867144	-0.6981388225296377	-4.005180242883483	3.775888033981054	-4.867128144832444	0.7543986133382371	2.5315657594029037	2.317777005350238	-6.029267580878105	-0.8852840317544959	0.9607635918216362	-1.7805239566337348	3.134771626325425	-1.247957590422649	1.3214820687634807	1.950730456077816	-0.4291860132762091	1.4929806264343144	-5.135983551321279	-0.2019422144483058
74032	-0.7251110161047527	1.0912367160622187	-2.4776170391179333	-2.320573859896966	-1.6058157312108756	-2.1193234048017118	1.3920743517582839	2.70358488249034	-4.982552394922077	0.36384844627521207	-4.171038953369961	-0.19204391348439787	-4.073412282792028	-3.4391278437082313	5.360154292140773	2.076603953975902	1.8117112969710667	-1.9403868983877186	0.8210044651285185	4.374764650252227	-0.18217002979849428	2.7463287124641282	1.640395519140311	0.5848937937126586	-0.10413709364901719	-1.2942646775115436	-8.28938371387704	-1.0557115621564297	-2.9420883860512617	-2.4170244825083915	1.2800327391668584	-3.5651976849620786	2.0786814779795986	-0.6314872517551247	2.372286882895638	-1.079508734127932	-1.4835203830264652	0.3090551132097236	3.747006295457824	3.179724923731105	0.6771661646078336	-0.7432180097628555	1.532037040226414	-1.308045472484318	0.9729932680978344	2.0569613272305958	3.5510346729433735	-1.0943775120678123	-0.24754098820517917	-1.3747394483798203	-3.3841977620034687	-2.652313462002347	4.537167841850757	6.005090553520422	-0.8084942992663233	1.566811439886945	1.5133709536337665	-5.8607635032800625	2.455843144052471	5.3954106551869225	0.24948000009668714	0.5170399989314122	-1.004630405947609	-2.341860047474765	-2.6169063693118244
74801	-0.2530527235294531	-1.0493809315869633	-0.508979960208304	-0.5753460932312859	-1.359734301418082	-0.2549516674927181	-0.5329538010043803	-1.0915046145958431	1.3643943193393129	-1.3411543127216217	0.21614998975508615	0.22421199537382686	0.5641264672713121	0.1481970563808941	-3.0796191404525755	-3.0063763761164117	-1.889519751834705	-1.6687086042396762	-0.3411961454811492	-2.7673372991729766	-0.8317436072692787	-2.4981522203126105	-1.8341435891744777	-0.9385921998153031	-1.0258473802116814	-1.3706015631788684	1.425968645901091	-0.6280017565161871	-0.8747382480335282	-0.6358138111426911	-1.9254839343021628	1.154521621666191	-1.7244047516786842	-0.7389575253297678	-1.982928691474012	-0.5943231197015576	0.6517151947556199	-2.3126123972429187	-1.1840983491518515	-2.677855795967467	-1.0653722059322663	-0.938463926161415	-2.5006470239812835	-0.976241546937098	-1.0148014728608175	-1.1507759367019292	-1.9797092712697915	-1.6974850834069533	0.12586619941506666	-1.937371354835265	-0.2791130962376701	0.1543228307495682	-1.491764835771117	-3.7777670103760537	-1.00373524586032	-1.0869504889998618	-1.7016388656296464	1.0734611761137256	-1.6881472617879898	-1.8845959445018847	-0.5446674572198179	-1.2501955352269993	-0.315191243303795	-1.5890426494353604	-0.6030385562799362
74917	0.3637740066270169	-0.020623123941307497	1.6228688326508598	1.7360177615536396	2.199095937640151	1.1844407605552498	-1.185810850437024	-1.3192047592952525	1.1611472393325568	0.8616080055952542	2.220043348713992	-0.7023207093670867	1.6773693052813765	1.615413103525427	-0.6391354279902867	1.7732572427571118	0.4250024957488755	2.985759758568889	-0.9780885978050754	-0.34139495042752876	0.5410023921964591	0.5624311757721735	0.5102973278667572	0.17906662342542456	0.8445105227135166	2.0204074743441467	3.62831754038059	0.7961826810983907	2.6009358093815345	1.9302744465833181	0.9690427050594603	0.4265103179064347	-0.05527922320927536	0.6149762536418497	0.17911896473171707	0.7733943043494561	-0.5113876213313935	2.1279508254812183	-1.8551468342635613	0.5294434994699531	0.3062135178346804	1.053691965665515	1.3673798761751295	1.7386514972989071	-0.06283362901851719	-0.7080135840624204	-0.6397888202167543	2.3981267267128508	-0.5389855327138273	2.8357899698879283	1.9462501798115266	0.9861207535755596	-2.0320882440421437	0.018873555283390853	1.2692299548244992	-0.3489751837480766	0.5496370993648354	2.1381285068276874	-0.07700821748188946	-2.0892807963951254	-0.10695980967190988	0.5762539708131021	0.5507790370551647	3.2476555899246184	1.8938353937289698
74936	0.5289880081946703	-0.30246250603009317	1.1289453098041937	1.1196037764682267	0.7848681355160377	1.0439523140462057	-0.5351256512726829	-1.0665970474464328	2.2964558763938516	-0.007472657134558913	1.9934624944311845	0.2854694970026581	1.9500830968841079	1.613138663390724	-2.225691283495426	-0.7716972567413883	-0.675455971405475	0.9813533644235634	-0.27064218282398556	-1.8046222969968033	0.21264772373221974	-1.0751745454508357	-0.587898176109631	-0.0941179010598634	0.22022842477104282	0.6657446891218559	3.769831289267615	0.5414600402049403	1.390263196055845	1.178506242487237	-0.4030558571183829	1.6961080299294096	-0.8162830193375175	0.35084542287331333	-0.8996678524281658	0.5538947790593959	0.7654517549809343	-0.01596669228306309	-1.4718681461939052	-1.2434269162294909	-0.12348735169130631	0.4360718467101676	-0.5898728220357111	0.7697376785298353	-0.28574096572687124	-0.7652756678940666	-1.386225443675033	0.6151077491958064	0.305729187075429	0.6981420775805373	1.505536917133588	1.2567190570606572	-1.8162756077104767	-2.422799384454798	0.4975370389109206	-0.5189748466621387	-0.48149126447939405	2.6497620944075106	-0.85306736399174	-2.1663061471026746	0.04920244846120969	-0.09415793442378273	0.6074553194125579	1.1843822053067232	1.207002352042257
