Eigvals	3
218.62475223130005	203.95642021397848	182.83784772836293

Proportion explained	3
0.3891463949540389	0.338679657887521	0.27217394715844

Species	65	3
fun1	-53.73512374693017	46.33323328978493	-56.30177852855273
fun2	5.581976381720613	-10.725675255163319	-14.294033552208033
fun9	50.5296600121652	21.2032435133443	26.702535487777055
fun19	5.937545420590471	23.368668295983028	12.850542910748677
fun34	-4.636646929444377	31.11516244060512	6.573889914311818
fun64	2.052652026610764	16.123981538902772	0.2476832718990444
fun70	0.15831220308818758	-8.082869725882214	-0.8944875030753612
fun92	-19.294064998294314	-20.721468681688414	36.23614570567188
fun93	-23.284010615263874	-8.738025332363849	2.2496598966818886
fun106	-13.245333244019884	56.13992411186118	-32.34460754728133
fun111	-38.581833501346644	-34.592520303094844	-15.730578303281558
fun112	-8.085497931043433	-8.447080769078747	-39.59261783624902
fun113	5.991533550254822	9.760588671134293	-11.665284550693636
fun117	28.849200455651598	12.948822441766358	38.372726845218025
fun129	-7.866179856876272	15.97559142861192	1.731606697018994
fun135	14.647499262885665	-4.90740192982153	23.298917453552193
fun149	-13.106906497333034	10.448606969974682	21.473915530684746
fun153	28.27567054520841	24.192206651518454	-8.27413157779477
fun157	-36.64233522956877	-5.76595165797291	15.292805701737352
fun160	12.032185805172873	-36.911872663996164	11.6619932295412
fun166	-8.08090080336684	-2.9136137036283287	15.576322132111432
fun188	-21.357149741477418	-31.0358864456528	2.0523686927135563
fun193	4.359807252661719	14.285706211243577	18.477786689001054
fun196	-26.229157906821815	10.601257462150375	-0.3504661054776936
fun202	-8.845789187556184	-14.468772394312158	-33.08512890142641
fun212	27.796105764503864	5.112034182812056	27.555803128725334
fun218	-14.839722568298495	25.91848920195146	9.111958506185927
fun222	1.4483955671698354	-31.839594655591643	-20.830035352125847
fun226	28.154244567434553	-57.72439093252163	1.0169610429955658
fun229	52.025338450359875	-17.2485411192119	-20.105332107255176
fun231	33.99357006627772	-24.029848147610608	47.34837711215941
fun235	15.891824644401558	-3.8571148950724363	-15.358466632789858
fun237	-16.6881052036696	-24.60819112021193	7.0668325333558855
fun241	-23.876550950623137	-24.540850239586035	17.410623541915555
fun248	8.7203472935151	-5.733649386031755	4.883504937344817
fun251	-25.801317259364023	-31.405539481678485	-3.3495099303451923
fun255	78.82213729723063	12.621453937370758	14.40006663146161
fun256	-28.544675144730157	-24.232592135492364	-11.386216887768715
fun258	-27.702260167290717	-30.562419357918884	-10.227563961706375
fun260	-45.446746385694745	7.750759411647254	25.901568695278286
fun262	-2.435672155607514	-43.24030428276771	-29.923927687736693
fun267	2.568637777653673	11.735040451219543	-13.013539232916134
fun271	35.56392091858664	15.485685194933817	9.654084305532749
fun272	8.477465482406055	-38.472916360739646	-41.2499667877044
fun273	-48.724005459185484	-6.951042395850868	22.324216380989032
fun274	9.672947880359983	10.361423710931538	-1.418212259303313
fun312	3.5863887730915964	53.39820457288197	-29.595425415613228
fun313	2.7463257207342893	-22.47977754512258	-2.7977888331382266
fun315	23.322433053262994	-20.61790433585645	3.8913830412420443
fun323	37.45602857782662	-10.277497465020204	-39.06854515841716
fun329	37.732249274781275	5.684095737555204	12.380879555623364
fun332	-9.043976163376895	-11.145056161206144	-20.25484393779175
fun343	7.619238753843712	22.95615733999724	-2.2679508698661914
fun383	36.3279933398526	-9.65444159682005	-67.8133077499462
fun417	-38.82847493316334	-32.0229142905399	44.60537153780008
fun459	-38.3117915721287	46.65225811487823	15.11846341235322
fun542	-7.8410586523537225	10.550248817367722	19.838612640641035
fun548	28.08050492458803	38.77761343066831	-7.884300106208392
fun558	-3.612835208219473	14.819929208533898	3.581636232517804
fun572	35.91400671976448	-14.041866403568617	3.3229870306479294
fun580	25.696477460264568	-8.541963379421391	11.818372076933624
fun587	-33.86214793975815	14.594816388268098	-12.735990461600073
fun592	-5.787734451486318	34.76422641928932	22.829980423907415
fun598	-4.451851841106763	52.911272376837005	-3.5030973884334435
fun599	-41.24276897851959	3.948853026472012	8.456552240427323

Site	641	3
10	-0.010944174815495304	-0.004781775251024441	-0.00340345088811502
25	-0.0032364839478165918	-0.004674850224749131	0.03713048687418562
34	0.012022228616998845	-0.05195712457301234	0.002777275869810797
70	0.06044640752058262	0.014490191951429367	0.036778581348492885
121	-0.037306470831964866	-0.015553688981046655	-0.022825002017452172
193	0.07948155121724676	0.0026320744813624754	-0.0002879281483252348
241	-0.07039527513049264	-0.016409176256693202	0.030793158819608625
254	0.05360468948895634	0.04561648549677185	0.08439063909579145
261	0.06602438205926363	0.026801356771469113	-0.06432883334154625
370	-0.06621437043355992	0.029997194130045333	-0.010042200388083677
395	-0.01811645319251484	0.02071130254119035	-0.01604748535084472
408	0.026071415549251062	-0.010975689279300982	-0.03207883957228478
436	-0.011768604590647993	-0.026041768250412146	0.06089400905747731
521	-0.03627835364605486	0.016207921641407212	-0.008324278724543142
555	0.005055775826649373	0.03605829813290734	0.002243865061765671
710	-0.04748471245205216	-0.03439089463976021	0.02551221817426195
834	0.09615864896230682	-0.0008898669931178558	0.008285407678413452
865	-0.01622731094944746	0.05664687351820452	0.01165591284368556
916	-0.024628145082026792	0.03732795025860157	0.07869852676867232
956	-0.12310917999911651	-0.0734790699488317	0.01161729173542559
965	-0.03085888158083542	-0.024530021876285935	0.0782406452757578
1486	0.07319928623919504	-0.03969797392753922	-0.027098323087960764
1500	0.0009857173049038135	0.01453888189559658	-0.0731894778569381
1531	0.020606733985603812	0.07467331120312029	-0.06417022807800245
1726	0.05037030995642489	0.014867411804716702	-0.003956739170824359
1767	0.06829896420682703	0.04200254147719445	-0.03651348476779255
1973	0.05711062878394067	0.04114431971658804	-0.030793456160115255
2097	-0.05785159931733609	-0.06907603639294739	-0.029714405426830716
2348	0.0032212337081409053	-0.0012016222149367828	-0.02351255436757486
2480	0.07008352815006673	0.044310458555568796	0.03300126425606261
2497	-0.056922226374942764	0.08070095086371455	-0.04446912397238492
2651	0.01808823780784691	-0.021508500536829313	0.005790705495196992
2695	0.016496943870738755	-0.028156749476066827	-0.037518168670700416
2715	0.0435168115695096	0.04241609942210597	-0.054559983037820566
2895	0.02533597437969907	-0.03869911321747679	-0.00954698064099816
2904	0.07316831388525571	-0.055581914706726944	0.04537184589427294
2989	0.025746618407173214	-0.013782729660243624	0.004217073224079834
2991	0.046851127529609765	-0.05861682486420312	-0.0041106748573737075
3066	-0.02337777054357817	0.023813236427442524	0.03830244386205933
3157	0.02685202111662539	0.026717725462364617	0.044519270178072466
3334	0.015829384612899015	0.0649016413324879	0.05343511735206488
3397	-0.08518161152791655	0.04055194219578122	0.03935203906949617
3512	-0.04335672607470558	0.05024174855765401	-0.01921047555990222
3524	-0.019439568916046163	-0.019511785755573965	0.02011269662500378
3811	0.07500033097768223	0.0049348336232307635	0.0004964115328010074
3821	0.03561949252145259	-0.06308852344024492	0.0198555445912934
3888	-0.05183916937275661	-0.08122386188651144	-0.019087184258222607
3931	0.0011357736901592861	0.044170768330798825	0.006705100809957064
4017	-0.00270459693503365	0.04473003414857419	-0.010977677209628672
4115	0.00860207733064274	0.05284025422637537	0.002438995653650423
4191	-0.025063512314268024	0.018037915909702763	-0.012500800862406562
5335	-0.03159182468083994	0.005721149915206936	-0.017543344275635912
5367	0.004374737414060206	-0.03144688589151747	0.011786095150203159
5433	-0.016333625698961865	-0.02976889445307459	0.007604256597795324
5467	-0.0905906971407589	0.08261053397894211	-0.030760252686398
5573	0.03383528850127381	-0.055067110625272433	0.013613116431510005
5589	0.04232539711147234	0.010680721886479852	-0.03309699107905416
5695	0.003585466456012516	0.07064255896325065	-0.02201256395243341
5743	-0.05575681374965605	-0.004840112978853964	0.016452274625758306
5748	-0.03810697870104825	-0.06985849057710602	-0.0755011245839889
5760	0.004470937655519	-0.02184656228250693	-0.024699538981412576
5795	0.04538360618451801	0.07363280018137033	-0.08882933335667755
5799	0.026444768879766174	-0.02645154253762287	-0.021054974630993532
5875	-0.016650071952215486	-0.014232329628637632	0.001033041308227444
6005	-0.0647247712754455	-0.03002124795578163	-0.03586888554474711
6132	-0.03045238067119524	-0.0318219321027902	0.07458888991702575
6343	-0.04837892383059667	0.0005523697524998816	0.006407085238234829
6417	0.02439133008479773	-0.02166319986785854	-0.033670475082673366
6437	-0.04692347510782172	0.02453883243093735	-0.07636989133237383
6589	-0.039163929469020226	-0.014995329588372498	-0.08895207556055182
6593	0.06309140468360348	-0.008292599205897392	0.013908640251838642
6672	-0.021596585659453816	-0.034985495258956015	0.006375432306295183
