"","Genus","Cluster","Importance"
"142","uncultured.bacterium.11",1,0.000108664442895465
"143","gut.metagenome",1,0.000108664689967688
"144","uncultured.bacterium.12",1,0.00222951677437597
"145","uncultured.rumen.bacterium",1,0.000108664443056712
"146","X__.22",1,0.00117290772524136
"147","Chroococcidiopsis.SAG.2023",1,0.000108664443195573
"148","uncultured.6",1,0.000108664443107913
"149","uncultured.7",1,0.000108664443074153
"150","Mastigocladopsis.PCC.10914",1,0.000108664443064008
"151","Scytonema.UTEX.2349",1,0.000108664443078334
"152","X__.23",1,0.000108664443019591
"153","uncultured.cyanobacterium",1,0.000108664442969233
"154","Mucispirillum",1,0.000108664443045278
"155","Meiothermus",1,0.000108664442905011
"156","Thermus",1,0.000108664442904786
"157","X__.24",1,0.000108664443159208
"158","uncultured.bacterium.13",1,0.000108664443354635
"159","uncultured.bacterium.14",1,0.00010866444388502
"160","Campylobacter",1,0.00551307135459752
"161","Helicobacter",1,0.0853835487939172
"162","Sulfuricurvum",1,0.0001086644429803
"163","Sulfurimonas",1,0.000108664442933098
"164","Tumebacillus",1,0.000108664443830875
"165","Bacillus",1,0.00334899674878362
"166","X__.25",1,0.000108664443207322
"167","Exiguobacterium",1,0.000108664442742513
"168","Paenibacillus",1,0.000108664443054198
"169","Paenisporosarcina",1,0.000108664443045796
"170","Planococcus",1,0.000108664443075595
"171","Planomicrobium",1,0.000108664443144983
"172","Jeotgalicoccus",1,0.000108664443061912
"173","Macrococcus",1,0.0066100854315844
"174","Staphylococcus",1,0.021599919857624
"175","Aerococcus",1,0.00550164378186872
"176","Atopostipes",1,0.000108664442397496
"177","Dolosigranulum",1,0.00010866444305887
"178","Granulicatella",1,0.000108664442875781
"179","Trichococcus",1,0.000108664443191752
"180","Enterococcus",1,0.22664625561396
"181","Lactobacillus",1,0.178019941634336
"182","Leuconostoc",1,0.000108664443046927
"183","Weissella",1,0.00117290723785095
"184","Lactococcus",1,0.000108664443059358
"185","Streptococcus",1,0.390524211728898
"186","X__.26",1,0.000108664442975932
"187","Christensenellaceae.R.7.group",1,0.0143914172227336
"188","uncultured.8",1,0.000108664443201305
"189","X__.27",1,0.000108664443152504
"190","Candidatus.Arthromitus",1,0.0748424181994643
"191","Clostridium.sensu.stricto.1",1,0.0474470327518642
