"","Genus","Cluster","Importance"
"151","Articulospora",1,0.00157564134438556
"152","Scytalidium",1,0.000824011591682618
"153","Tetracladium",1,0.746957713547671
"154","X__.29",1,0.00704496992967051
"155","Amphobotrys",1,7.68247523721565e-05
"156","Cadophora",1,0.0440405291205888
"157","Leohumicola",1,0.211479510536712
"158","Cistella",1,0.0373429385631678
"159","Setoscypha",1,7.68247523721362e-05
"160","Myxotrichum",1,0.0189799991426507
"161","Oidiodendron",1,0.0181769671817288
"162","Botrytis",1,0.0152802203442989
"163","X__.30",1,0.00578589526318763
"164","Geomyces",1,0.000822772117650493
"165","Pseudeurotium",1,0.00310575771552449
"166","Pseudogymnoascus",1,0.583550619646449
"167","unidentified.15",1,0.000820546278423745
"168","Thelebolus",1,0.0316354952269231
"169","X__.31",1,7.68247523721397e-05
"170","X__.32",1,7.68247523721602e-05
"171","Arthrobotrys",1,7.68247523721602e-05
"172","Dactylaria",1,7.68247523722021e-05
"173","unidentified.16",1,0.00617385685333726
"174","unidentified.17",1,0.000822909754428374
"175","X__.33",1,0.00234096921982622
"176","X__.34",1,0.0161789137006393
"177","Ascobolus",1,0.0612412504279078
"178","Cephaliophora",1,0.016970153811245
"179","Iodophanus",1,0.00308699125440565
"180","Kalaharituber",1,7.68247523721473e-05
"181","Peziza",1,0.0134349564414315
"182","Terfezia",1,0.00783494344412753
"183","unidentified.18",1,0.00232806926182469
"184","Coprotus",1,7.68247523721397e-05
"185","X__.35",1,0.00864738677669004
"186","Cheilymenia",1,0.0283778460202471
"187","Geopora",1,0.00862529171573264
"188","Heydenia",1,0.185848273243846
"189","Lasiobolidium",1,0.0532297362685913
"190","Paurocotylis",1,0.000820956028140812
"191","Pseudaleuria",1,0.00157423471234405
"192","Pulvinula",1,0.0606397318486851
"193","Scutellinia",1,0.372006083848573
"194","unidentified.19",1,0.00157544695714099
"195","Pneumocystis",1,0.0161981809045835
"196","X__.36",1,0.0798797473855144
"197","Debaryomyces",1,0.0126359212731098
"198","Hyphopichia",1,0.0167155918904351
"199","Meyerozyma",1,0.0176156018775711
"200","Millerozyma",1,7.68247523721464e-05
"201","unidentified.20",1,0.000822416345661573
"202","Clavispora",1,0.0314961268916803
"203","Kodamaea",1,0.00458949310746895
"204","Cyberlindnera",1,7.68247523721454e-05
"205","Starmera",1,7.68247523721527e-05
"206","Wickerhamomyces",1,0.00157731115651468
"207","Eremothecium",1,7.682475237216e-05
"208","Issatchenkia",1,0.000820286041771878
"209","Kazachstania",1,0.00616400135922942
"210","Saccharomyces",1,0.0111002477231134
"211","Zygosaccharomyces",1,7.68247523721562e-05
"212","Candida",1,0.731384595297638
"213","Diutina",1,0.019000790858861
"214","Sympodiomyces",1,7.68247523721753e-05
"215","Blastobotrys",1,0.00157782424576757
"216","Trichomonascus",1,0.0046173011855334
"217","Zygoascus",1,0.000821650257585475
"218","X__.37",1,0.310608914667229
"219","unidentified.21",1,7.68247523720993e-05
"220","Coniochaeta",1,0.00234117030146983
"221","unidentified.22",1,0.00389873782148344
"222","Diaporthe",1,0.0189306815993864
"223","Cryptosphaeria",1,7.68247523721565e-05
"224","Cytospora",1,7.68247523721086e-05
"225","unidentified.23",1,7.68247523721397e-05
"226","Colletotrichum",1,0.053932260446953
"227","X__.38",1,0.00845281533741134
"228","Acrostalagmus",1,0.0330071455483583
"229","Gibellulopsis",1,0.578833872515116
"230","Lectera",1,0.0196944283568533
"231","Plectosphaerella",1,1.11832157141598
"232","Sodiomyces",1,0.00463968960394005
"233","Verticillium",1,0.0887207285275698
"234","unidentified.24",1,0.00388838572492544
"235","X__.39",1,0.0841575491997868
"236","X__.40",1,0.0038822801838488
"237","Clonostachys",1,0.0488934824274618
"238","Geosmithia",1,0.0134475625623142
"239","Gliomastix",1,7.68247523720985e-05
"240","Hydropisphaera",1,0.00157895197117357
"241","Nectriopsis",1,0.128844112423105
"242","Selinia",1,0.0046292871438469
"243","Verrucostoma",1,0.00157975977301867
"244","unidentified.25",1,0.00234170792486955
"245","X__.41",1,0.00084377226159659
"246","Aschersonia",1,0.00157853449032616
"247","Metacordyceps",1,0.0037714864831013
"248","Metarhizium",1,0.0901219242546981
"249","Paecilomyces",1,7.68247523721362e-05
"250","X__.42",1,7.682475237216e-05
"251","Beauveria",1,0.0919874840254092
"252","Engyodontium",1,0.000821675924793456
"253","Lecanicillium",1,0.0146760075874816
"254","Simplicillium",1,0.00233093651657646
"255","Monocillium",1,0.0143576583229366
"256","Trichoderma",1,0.0923310403170165
"257","X__.43",1,0.0172409943136187
"258","Acremonium",1,0.199614087531471
"259","Emericellopsis",1,0.0213199059290389
"260","Fusariella",1,0.171347534190426
"261","Olpitrichum",1,0.014531120907187
"262","Sarocladium",1,0.121982294258738
"263","Stanjemonium",1,7.68247523721565e-05
"264","Trichothecium",1,0.00157537822101685
"265","Ustilaginoidea",1,7.70083971358988e-05
"266","unidentified.26",1,0.00232877554775928
"267","X__.44",1,0.647592962396981
"268","Bisifusarium",1,0.0023326425064163
"269","Cosmospora",1,0.00233974056024805
"270","Cylindrocarpon",1,0.0110925446564552
"271","Dactylonectria",1,0.0981862795033714
"272","Fusarium",1,2.6325452966663
"273","Fusicolla",1,0.174433374916341
