featureid	bac84	bac85	bac87	bac106	bac161	bac180	bac181	bac185	bac190	bac197	bac221	bac224	bac249	bac253	bac255	bac261	bac262	bac271	bac313	bac482
88296	-1.7795397063239518	2.7228257379099094	0.03570735415414372	-2.61145938205078	-1.551034353962221	-2.3538778544269974	2.0810820228158535	-0.7771587552660031	-2.580966809803893	0.595410330374871	-2.3956297060367593	0.8425955595405263	-0.37863735960362777	-1.3123656922023597	0.9004676985753794	-3.119094878731736	-0.5656057872980731	-1.5166756227232965	1.697181661899627	-1.8556026929604417
88359	0.09009677345015654	3.3476585029705834	0.4776656555798171	-1.4722261139224577	-0.2846546107789809	-0.2831159201217518	1.8386244556153946	0.5885856312745523	-0.3619915157048683	1.8736583837919298	-0.8337078244501354	1.5194292486930217	1.0089885341717961	-0.12783010432178488	1.775388716698673	-1.4106945314217665	1.274228151459091	-0.12388929791981096	2.9978141331105874	-0.54669263839769
88396	-0.9950415173871885	2.0510356907653744	4.44618993117582	2.770566914006166	1.5455634083511565	-1.686966525013779	6.2681215118133045	0.5190052779769618	-2.2371462861940894	0.21511420276379156	0.9099625229106815	2.6673640902174545	0.3785710437615254	1.664059312453483	1.8500777386914968	0.6198159715561974	-1.7757413980056507	1.0351558251744255	-0.5907785706076629	1.5951789235795188
88425	-1.6327850339987593	1.8603983089557936	-1.8470076154687272	-3.6797880595774255	-1.8851299979713723	-1.156990691997395	0.315314116688861	0.242293365003317	-1.1297610236633733	1.0916432564731853	-4.085616253709866	1.4311697540116157	-0.6423106870955705	-0.8574219481946845	0.9679746540297394	-4.388601830212199	1.494617032284252	-2.2719458161455126	3.0251306080329687	-2.694982997672097
88487	-1.265610304887742	-1.9381233759497138	-0.9095471056452462	0.02903170859017168	0.026509093126348304	0.37361151009128146	0.32854391948842554	1.52892229438041	0.4490301330344839	-0.2306835768805109	-2.9756513606933046	2.1147736284879133	-1.2761463885400064	1.6252383763882317	0.31437387129300265	-2.1717061261435044	1.432620463439053	-1.2880413117584373	0.33070939574444025	-0.8337237822878634
88500	-0.02816105409314118	-3.065934041261017	0.3282484468770539	2.1720625809256338	0.7453915975242165	0.30542236112669296	-0.8325212080568455	-0.2857591679612912	0.31284484709176086	-1.7245829515237519	1.1761826052138167	-0.956756891753163	-0.8045707322186417	0.628354613665834	-1.377257582541538	1.765711215620907	-1.326374971028565	0.47550618235709163	-3.0114773254376512	1.0120574923526555
88518	0.08930598706961157	2.275397467735342	0.22539988409658207	-1.1466037180001876	-0.3416136432274568	-0.3299335480384721	0.9612933411471526	0.0855504484537124	-0.3825972998071463	1.13700287068431	-0.36089133720180844	0.6051598142857586	0.6795712230710999	-0.41792814777786846	0.9878620783524468	-0.8275273503141202	0.5860570542438372	-0.08138599230493315	1.831538092229177	-0.41988723620886104
88528	0.004416412361687216	-0.48670280054170134	-2.078132626884192	-1.4570205356085046	-0.3773564989708724	1.374301580154702	-1.4139486792279032	1.5875095704731605	1.649902857089414	0.9846202881803763	-2.5415570716724263	1.4323625930376995	-0.23854506687993482	0.817882685533966	0.5901645392967458	-2.0630756473997627	2.875187146584364	-1.043892366169531	2.2604413073136733	-1.1499834828296307
88667	0.4166218857204991	-1.8102582682086419	0.44607391395368534	2.1174988220779114	1.453024382984955	1.6648562635913926	0.483986176988357	1.9229882197110295	1.7543809611554377	0.08919162011780712	-0.153739116442143	1.7871017983798574	-0.09343552552925427	2.383003848016297	0.4978110830689617	0.6783624115287809	1.4768854240443106	0.5252170430328167	-0.17874716594152695	1.0515696974443434
88739	-0.6417878446193048	-2.0595983740989894	1.3535469352523384	2.73427609483054	1.6207613625650108	0.8047433232823699	2.317772111767881	2.110378950676512	0.7258098132764741	-0.31677395246793716	-0.9820651794068774	2.850652105293427	-0.7003956520728724	3.0080845034941563	0.8007236763414818	-0.028186345709760974	0.8294733511517731	0.16874626315716124	-0.7404209440913798	1.0161387868333596
88773	1.1995825057580685	-2.922238332336777	-2.0266330038821616	0.5874586611390824	0.5410920521694859	2.5637825168835637	-3.3912248897606	1.2510511899584	2.9638062664187004	-0.16912115643206538	-0.07582534874338809	-0.316203123673034	-0.17563192160449015	1.0820669008732753	-0.8043672858567323	0.816597903433106	2.103946209614777	0.14905402151103986	-0.16446736833995534	0.2971081020244104
