,Segment,DPH
D28E02I,Ileum,28
D28E02J,Jejunum,28
D28E03C,Cecum,28
D28E03D,Duodenum,28
D28E03I,Ileum,28
D28E03J,Jejunum,28
D28E04C,Cecum,28
D28E04D,Duodenum,28
D28E04I,Ileum,28
D28E04J,Jejunum,28
D28E05C,Cecum,28
D28E05D,Duodenum,28
D28E05I,Ileum,28
D28E05J,Jejunum,28
D28E06C,Cecum,28
D28E06D,Duodenum,28
D28E06I,Ileum,28
D28E06J,Jejunum,28
D28E07C,Cecum,28
D28E07D,Duodenum,28
D28E07I,Ileum,28
D28E07J,Jejunum,28
D28E08C,Cecum,28
D28E08D,Duodenum,28
D28E08I,Ileum,28
D28E08J,Jejunum,28
D28E09C,Cecum,28
D28E09D,Duodenum,28
D28E09I,Ileum,28
D28E09J,Jejunum,28
D28E10C,Cecum,28
D28E10D,Duodenum,28
D28E10I,Ileum,28
D28E10J,Jejunum,28
D35E01C,Cecum,35
D35E01D,Duodenum,35
D35E01I,Ileum,35
D35E01J,Jejunum,35
D35E02C,Cecum,35
D35E02D,Duodenum,35
D35E02I,Ileum,35
D35E02J,Jejunum,35
D35E03C,Cecum,35
D35E03D,Duodenum,35
D35E03I,Ileum,35
D35E03J,Jejunum,35
D35E04C,Cecum,35
D35E04D,Duodenum,35
D35E04I,Ileum,35
D35E04J,Jejunum,35
D35E05C,Cecum,35
D35E05D,Duodenum,35
D35E05I,Ileum,35
D35E05J,Jejunum,35
D35E06C,Cecum,35
D35E06D,Duodenum,35
D35E06I,Ileum,35
D35E06J,Jejunum,35
D35E07C,Cecum,35
D35E07D,Duodenum,35
D35E07I,Ileum,35
D35E07J,Jejunum,35
D35E08C,Cecum,35
D35E08D,Duodenum,35
D35E08I,Ileum,35
D35E08J,Jejunum,35
D35E09C,Cecum,35
D35E09D,Duodenum,35
D35E09I,Ileum,35
D35E09J,Jejunum,35
D35E10C,Cecum,35
D35E10D,Duodenum,35
D35E10I,Ileum,35
D35E10J,Jejunum,35
D42E01C,Cecum,42
D42E01D,Duodenum,42
D42E01I,Ileum,42
D42E01J,Jejunum,42
D42E02C,Cecum,42
D42E02D,Duodenum,42
D42E02I,Ileum,42
D42E02J,Jejunum,42
D42E03C,Cecum,42
D42E03D,Duodenum,42
D42E03I,Ileum,42
D42E03J,Jejunum,42
D42E04C,Cecum,42
D42E04D,Duodenum,42
D42E04I,Ileum,42
D42E04J,Jejunum,42
D42E05C,Cecum,42
D42E05D,Duodenum,42
D42E05I,Ileum,42
D42E05J,Jejunum,42
D42E06C,Cecum,42
D42E06D,Duodenum,42
D42E06I,Ileum,42
D42E06J,Jejunum,42
D42E07C,Cecum,42
D42E07D,Duodenum,42
D42E07I,Ileum,42
D42E07J,Jejunum,42
D42E08C,Cecum,42
D42E08D,Duodenum,42
D42E08I,Ileum,42
D42E08J,Jejunum,42
D42E09C,Cecum,42
D42E09D,Duodenum,42
D42E09I,Ileum,42
D42E09J,Jejunum,42
D42E10C,Cecum,42
D42E10D,Duodenum,42
D42E10I,Ileum,42
D42E10J,Jejunum,42
