featureid	bac22	bac63	bac84	bac85	bac86	bac87	bac90	bac106	bac107	bac110	bac144	bac161	bac165	bac180	bac181	bac185	bac187	bac193	bac194	bac195	bac197	bac198	bac201	bac202	bac203	bac211	bac212	bac214	bac215	bac220	bac221	bac223	bac224	bac228	bac231	bac232	bac234	bac240	bac242	bac243	bac244	bac249	bac251	bac253	bac254	bac255	bac257	bac261	bac263	bac264	bac265	bac266	bac268	bac270	bac271	bac272	bac273	bac274	bac277	bac278	bac279	bac280	bac284	bac286	bac288	bac289	bac292	bac293	bac295	bac296	bac297	bac298	bac300	bac302	bac304	bac305	bac306	bac313	bac315	bac319	bac322	bac323	bac325	bac327	bac406	bac407	bac422	bac424	bac482	bac487	bac520	bac522
93042	-0.8271456892484943	-1.6970251226495061	-0.9907043559415862	-0.7422204900535654	-1.462314019851925	-1.365861152302581	-0.7840644851825418	-1.307951581121146	-2.669533314951955	-1.0100415488089414	-2.3880113812457235	-1.7423443926668059	-2.711439766782659	-0.7826418953002174	-2.350653447353191	-1.395544514485217	-2.2439745301453016	-1.8861684673259607	-1.566194530585797	-2.452368739370705	-0.4937948730416662	-1.8568497798170678	-1.1792721990745143	-0.9449148427487846	-1.9692201004061327	-2.363576933654335	-0.19021039313187876	-1.5661667462129396	-2.457103194372339	-0.9008143051941696	-0.7870314655088707	-0.7942343220975401	-0.8368789180640026	-2.516898746355396	-1.5271197427629297	-2.82313829198637	-1.2292329981934909	-0.7354041114969616	-2.922984502035408	-2.695616567516299	0.3617895033367713	-1.6934032729866102	-2.2270097311274393	0.6534144200668376	-2.101222145749251	-2.255739431362516	-3.4558975510923067	-1.7527842756994154	-2.2938708584018177	-2.2216217000987335	-1.080106520951289	0.5630255621548808	-2.4840922646157395	-1.3461094925672945	-0.29213647411145083	-1.7490042593999138	-1.7074334203432624	-2.6640224441648894	-0.42321908172828415	-1.3664746642887224	-0.2556029479199596	-2.356136986374813	-1.2287326051519563	-2.4235762312369356	0.027564416342391818	-2.7789367448356623	-2.8460854805956055	-2.2335033911442657	-1.176363273632864	-1.6957817106065929	-2.847375991039658	-3.27754843601434	-0.9288887215790662	-3.2156831837250395	-1.996991901919083	-1.3128768622585343	-2.724927115114692	-2.0681710849961052	-2.3760714345246865	-1.0720784857027037	-1.4059667192279415	-0.2738520793221797	-1.3269798028480528	-1.15948579408778	-3.471294806988461	-0.41749456183306355	-0.8072792129775522	-0.9052153821206406	-1.0088873930113114	-3.064437562687581	-1.635464476137474	-3.5603292279248855
93048	-2.4558307912823754	2.2907170119999773	-0.7403148899936818	-2.6862037860262435	-0.7899625356580882	0.1951962623501381	-1.2271854182972048	-0.05910471358005959	0.922122703914793	-1.1557162056783505	-2.3489181731924496	-2.6234241199406956	0.1965462109270275	-1.1336080915224036	-0.11100276165833203	-1.8295743755499794	0.2534677698376072	0.3284277186545531	-0.6609401271154842	-0.7920276460794566	0.012560415157693572	0.37384358539552665	0.9952584479221938	-1.3386016495763937	3.0762740659584864	0.22562717059432202	-4.1968641791112065	-0.4491998098691581	0.46265132706883844	-0.585038186557946	0.8308042136532612	-1.0265030783013303	-0.610184477685358	1.0630614260247473	-0.7916268867904684	1.653217126286119	-0.6439378001254312	-1.581960925121974	1.6260652850945512	2.653214016708813	-1.8854700137828806	0.25567045915905473	1.3476997319292647	-0.4372105557854564	1.3407729174562775	0.8883174699592755	1.359817491991406	0.05931202717964257	0.7743530980637647	1.1780395102326524	1.1626952452930972	-4.301602815894396	-0.059824631933362515	-0.2357023194456922	-0.7354036706645263	1.754519320493745	0.8898707631929121	0.911046331081361	-0.22509644109218563	-0.8203166137390931	-1.3190143383361932	0.4699222322354648	-2.8180961770350113	0.3269680193444635	-0.5445685124470774	0.3469443498198743	3.342176144442928	1.1670768730816037	-0.29986630344210946	1.5717437580296316	3.8855360112352946	-0.23777800796281742	-0.6278697521219372	1.363977191765067	-0.45687343864970253	-0.3300086505652866	1.967498439479325	-0.5709051320214042	1.4612098196525611	-1.6461342333377185	0.3703111663339399	-2.9818962842686845	0.20615500075142612	1.4576016320346372	3.3821279696924242	-2.000970256501434	-2.0019225948743347	-2.5002369291746525	1.0100693045189715	2.3312500369330635	-0.7319807625929706	2.2108928356602995
93094	-1.9054868075544347	0.49273832879343715	-0.3357561129616726	-2.254538553409157	-1.4520246238988914	-1.1495235053124881	0.8415083543218125	-1.044402982717058	-3.603522443603722	0.20468842460487768	-4.93188879265286	-4.656042062007282	-4.400287260967527	-0.03120849568840586	-3.137428224212555	-1.9595761910170586	-4.022077673905413	-3.2305125100779026	-2.3325091714630655	-4.708231129155334	1.4476637364793046	-3.0962052230896955	-0.30794194105154155	-1.1460285209034646	0.277979073206219	-3.0808461529007016	-1.3222119813198774	-1.2130129063389712	-2.507837058501916	-0.9739097589661269	1.777775788720471	-0.43826253087833966	-0.017390979180870625	-3.1548123709234748	-1.8997713092935404	-3.9301565568411725	-1.3545216427819942	-0.5450429324911445	-3.8953969343875343	-3.046325258641758	2.5308287958933153	-2.04689306985827	-0.6273693769067016	4.291853329267374	-3.1232226279362747	-2.6982286333345336	-6.183096123030106	-2.7750986611301434	-2.299447311315492	-0.7901104272975996	1.2477107676529098	1.3839879171649447	-4.701522621517025	-0.910430113028162	0.5495573737891589	-0.6157243731945361	-1.496544324483455	-5.0322659749617875	1.785633870542128	-1.7134157999051498	-0.012425378698303569	-3.2010479437699124	-2.6932228999503014	-3.960170580360251	3.136977807963512	-4.516358584970372	-2.2801523174615954	-2.8222635959739977	-1.4308536413724706	-1.6662678487422458	-2.0561806054235383	-7.007397487882447	-0.8261974306378024	-4.479296321852144	-3.1171816166929234	-1.32641085680483	-3.7284870109868056	-3.234186967149694	-2.144417954276306	-1.4267560049008314	-1.883422753899906	-0.04477199656041586	-0.27415821088190584	0.08980191995815434	-4.574085316448802	-0.6294450022544177	-1.809313749901112	-1.0345081057562528	0.10828332181290368	-2.9040560970848173	-1.5522340868023146	-6.566666345972043
93213	2.1777682113579466	2.6474570315315336	2.9447372429041563	2.1640558080394006	1.4693302567222497	2.112707371247556	3.6619829498698686	2.198643131787593	-1.4537684521619063	2.955235548639328	-2.3765739328151745	-0.92238922082276	-2.0799502361755904	3.385339338419353	-0.9111850927893941	1.093796393856614	-0.8699219974507691	0.2462471712463018	0.9550152950238531	-1.9288853415511928	4.940652195849834	0.3729513935027935	3.0976913047797496	2.554673613279747	2.222626540455649	-0.813488029618795	3.241897984162864	1.432111089350166	-0.7347577992107639	2.9641619894487503	4.667724439449848	3.2534959124123084	3.437894571637501	-0.9007049342999524	1.1544936971642952	-1.676457609895479	2.07029183353388	3.163673390972656	-1.893039159740467	-0.7403638215577953	6.620276447546375	1.0746017459047206	0.7438560180386778	8.390767054640742	0.1313249406373913	-0.21002928499828125	-3.998872445695507	0.6192771836902455	-0.19295446791724835	0.6483784338260123	3.9339012474534143	5.866421247476	-1.7560274261600606	2.097065591099369	4.826697095840167	1.956430757493286	1.446421657602774	-1.9569980318755686	5.1482017096781885	1.571655626300137	4.513720469433447	-0.7598696905464901	0.877762949263502	-1.2303760737695273	6.531148357182556	-2.2127739481682207	-0.5741008718812414	-0.11306317866336674	2.274266112659194	1.6465774701698086	-0.31670613556148974	-4.42200173408715	2.934499860310099	-2.84920199809272	-0.22666160011121883	1.999868024495229	-1.285139655703727	-0.46508141969219263	-0.09431189689930891	2.067477091599582	1.8169592398605858	3.9062067574692363	2.5195562018994586	3.434733193867298	-2.7911141737759864	3.7076674989718903	2.40663396853757	2.292641482437516	3.6329857587957086	-1.6249058160807124	1.0543585717764903	-4.089368993558139
93238	-1.2877758859302268	1.3594958619279427	0.053472363754346164	-1.9457099942148655	0.48229732217688115	-0.4597847741016444	1.437532543568795	-0.3034664188897747	0.8066007345335446	1.379650723078788	0.8668884075220568	-1.2555820232471664	0.5368730833256903	0.014336958399474495	1.1555435785633899	0.47363826656920494	-1.0105186494930956	-1.4678937423418406	-0.5020038325308416	-0.0796616753223231	-0.16937207739598936	-1.43358216293373	-0.8137490690815627	-0.753930313058965	1.423876177057383	0.9697333949283209	-1.4372982932954532	0.9592875894700776	1.9919559965022038	-1.4473493701824838	0.7940643767178475	-0.6693369172590291	-0.24692336421278482	0.6662729670637723	0.11260706741920734	0.25337991595273834	-0.5238219580726995	-0.5268928495086855	0.7597928402209914	0.013432384775240086	-0.3556920446925096	-0.4395613364727259	2.9413185724541724	-0.45079644048745604	-1.3743180314711356	0.3931850065499243	-0.0893037053667717	-1.0904921134492147	1.2835647461795734	2.8261983532680777	0.9298614318945646	-0.537411179597354	-0.6693101139106555	0.2580652205233587	-1.6581315064885	0.4547122570161206	-0.17892178290157768	-1.3633617144073942	0.2555689453673562	-0.2779421207463828	-2.075215337448943	0.5109215725238136	-0.3632111758333887	-0.1961234292851215	0.665521672798673	0.4783684019985295	1.1281383709801824	-0.17123584043607348	-1.215083134233713	-1.1985207331886123	0.9220854739801461	-0.500433965773759	-1.0446328512664977	1.4315851379987208	-0.0058921865230144865	-0.44133963359801265	-0.1758350019126489	0.24152608916702523	1.182085952815414	-0.31216080580459804	-1.5675896021135407	-0.3514987089899635	0.6748668982439978	-0.7598873725026973	0.37164521216174984	-1.619587264299657	-1.6873171286192412	0.4319045241882997	-0.9425923795557515	2.169743115004607	1.0539626415144716	-1.0711937503906237
93340	-2.6430762330258575	0.8010948490656066	-1.0986022492068763	-3.1892019146053383	-0.8668930031906488	-1.198539914425639	-0.23566105666221793	-1.1649765791891544	-0.20094172833854612	-0.28233287231030935	-1.2488808664978008	-2.7990330990578816	-0.6534169208791774	-1.2358541237771163	-0.26204949918761766	-1.2232159388996704	-1.6943375449810376	-1.952629623789833	-1.5513141021524703	-1.4071851505614097	-0.9355408467497682	-1.908411139803043	-1.1545741319935483	-1.8855521026656579	1.0833801337970002	-0.2829138112829588	-3.2683192856284373	-0.4170611971897178	0.528951675984334	-2.122872395232786	0.007013604229176851	-1.696105438328169	-1.2523325371462417	-0.2336363622966321	-1.1452168983540023	-0.3706356845299261	-1.5164446725139904	-1.7766957779773118	-0.025247642701047623	-0.18245180507765194	-1.6130526244229362	-1.2064161095293657	1.5534385188870474	-1.1429465654959527	-1.5642320477130678	-0.45778120025158586	-0.8040210036455372	-1.7540623889634155	0.14376598086270764	1.4127518658175438	0.181850456415525	-2.551964944449837	-1.586599089273832	-0.8240317798650854	-2.2473007389978115	-0.04751168804850514	-0.8005548330463028	-1.7788921552400663	-0.6991582646624206	-1.4174071080804385	-2.7467078071766653	-0.530663983246846	-2.149840110500305	-1.1020505667519647	-0.45312813457202217	-0.6517707660201315	0.844675109036409	-0.7683125296188043	-1.8924820985434847	-1.3026192312643836	0.8825740025582232	-1.6303194919533062	-1.8496645092618915	0.332803882587491	-1.1778543739605172	-1.3589031518729395	-0.5612244437606506	-1.0469588787254045	0.2964155259942502	-1.6878521366547559	-1.9474502426177156	-2.0727102998901104	-0.3659011054693624	-0.9535536691462536	0.22629688150922378	-2.672437437671612	-2.773753664791185	-1.421427119573774	-1.2205769433876306	1.2224817941756179	-0.4558793669150867	-1.2366378622208514
93346	1.3162286386200357	-1.0226724377278953	0.7124775086077144	0.8707283839549943	1.6125190371744529	-0.5893863753170553	2.500380502523566	-0.18043369273309368	0.9347233457411495	2.549602184616848	4.697134261395275	2.3597748178682014	1.5880618274724148	0.9721632691870291	2.2477733202874477	2.801394436277759	-0.4332096859310578	-1.2967474129298235	0.5804239690754807	1.9362635248925963	-0.846766652647153	-1.3409095139692857	-2.0713035622904044	0.5994114365953491	-1.6726968792516375	1.6732804873460942	2.7112621636032506	1.7677244168676618	2.4776329499122958	-1.0374655515772533	-0.6184726597970684	0.16971469697064911	0.13212872369210182	0.4878186180199008	1.3138037895560601	-0.35983962375962975	0.23918331949065827	0.9305443721155291	0.25862101168775353	-1.9210407806854937	0.512165916576542	-0.3532779367950528	2.1524255365387064	-1.59499277570981	-2.232595619415995	0.20018954281483323	0.20815623245010306	-0.7136858985410264	1.257399118714826	2.231113883381129	-0.6320086140467722	3.070336011901022	0.4948420036687161	0.6295235384524573	-1.5995484338400932	-1.22671423976204	-0.84492599776567	-1.2093121588430027	-0.2071810122754041	0.8207406284483894	-1.3394108513209144	0.9172433499147388	3.0201272588093895	0.4476914599771058	0.19774424033055138	1.3961340735772467	-1.5175098944501313	-0.7153773097302394	-0.9075607405892567	-2.700738977990019	-2.3778145588953317	1.574150861823707	-0.5556972054849756	1.5023744748909074	1.2054000701891021	0.011355097324265762	-1.2459155047591999	1.6500899115679948	0.39835394167458643	1.5204077923537889	-1.863996238831827	2.401602378139559	0.486298153106725	-2.5909802828781574	-1.7618109081291764	0.07462822621536713	0.3542064513047164	3.152258145134225	-2.3653614235792926	0.9322877668816609	2.271982342491525	-1.7025784728150166
93375	-2.4045598088710864	4.753598474503478	0.6668090771310566	-2.9300690399186915	-0.1100035392339862	1.1798329485601324	0.9411066184723293	0.9644808179130469	0.44791564009278956	0.6020914894569354	-4.190301604738467	-4.416525708432216	-0.9282843830142022	0.41147150753320977	-0.41711292753353746	-1.6420729447677387	-0.6764994534433949	-0.08459397147354342	-0.5896335635569694	-2.2929227100024923	2.6992387835116176	0.05693601804968387	2.6416001630795045	-0.5940880490410447	5.519797227901919	-0.002505358606326169	-4.028265605087598	0.45955919435231085	0.6952134964178049	0.3568203263089761	3.89887772352969	0.2382466917477717	1.0100099365534343	0.9020461686620019	-0.42752801569378207	1.048284749033261	0.07679170388526099	-0.46534506810150744	1.063601777568124	2.7740289338703272	1.2226611214853966	0.6564578682260366	2.995699493088934	4.051891526105897	1.1528591808611965	0.9904656797172124	-0.7924830042490937	-0.07720674537775274	1.1601388813918092	2.690961438400416	3.938064081225239	-2.3216058627532283	-1.471523530714447	0.871550579904709	1.1819179900420682	3.3649535042709937	1.7596696999904817	-0.6026992760029064	2.6704047112761717	-0.35446217023149074	0.12062810174386013	0.17904845056170315	-3.300866049470904	-0.5176423322396808	3.210480308721505	-0.8298140661643607	4.1219985088513775	1.2046495507751058	0.39201213961531506	2.3923530406957063	4.886594103507647	-3.1933471160325015	0.42011860824283387	0.40346869840594185	-0.8526554379135666	0.461680039384486	1.522428100583607	-1.050141108584243	2.048826598956948	-1.114309080095223	0.8482143714112066	-1.7423010305519129	1.8209595178048816	3.4376434932343747	2.6167773313060407	-1.050650909289244	-1.8359903995892437	-1.8091087446864562	2.92773096868053	2.5898441477114353	-0.08917237865245609	-0.10901080996188398
93470	-0.7966247282052201	-3.106525521032794	-2.2168209215890293	-0.3742633802422327	-1.5961596643054392	-1.5118421731436493	-3.394661434694972	-1.6312422848658776	-0.2327604140743666	-2.9582879485970484	0.6042291814807917	1.0299924434047139	0.37595783527611903	-2.4062895300010396	-0.6535285940186495	-1.2646007822319707	0.5617999739031184	0.16164138287329421	-0.7178760173557392	0.742707701616923	-3.3271164171526895	0.0649746777011391	-1.9642438866360066	-1.445867583534274	-2.9786156098280854	-0.6301725432200085	-1.1582369531551795	-1.8868382552856982	-1.308028447169415	-1.3549278098902038	-3.812784775720444	-1.942792930085952	-2.3323779826511988	-0.4933313466265262	-1.1834447267145412	0.15231451975017762	-1.3658749258675968	-1.9172780861303431	-0.02037984083440414	-0.36169088704797303	-4.010012156349391	-0.9179651881048714	-2.821151782022525	-5.14964473592831	0.07734986717068537	-0.7193074877061194	1.7467630046617697	-0.2516904520765837	-1.2387160039301168	-2.688043895097122	-3.500026365535724	-3.2187340058588467	0.9140017302428579	-1.8774543416532625	-2.3107717388848386	-2.113306280697567	-1.3503430927400912	1.3412228162922044	-3.682797186357705	-1.1951164035293311	-1.8210984604273979	-0.41565347558285803	-0.543543151330866	0.29145817780460326	-4.695797270005246	0.46073553125005096	-1.1875904516280817	-0.47177055574471144	-1.112743213158173	-0.9484953488228358	-1.2734648249942075	2.400064804369239	-1.5637413884680655	0.17702122489132383	-0.33466699714759807	-1.4090587404030288	0.1490640705261974	-0.32962915412359717	-1.3075494612768344	-1.388671923594241	-0.7030950915249022	-2.302843119714295	-2.422590808315814	-2.237948823103129	0.5627890607491052	-1.5504459936562291	-0.7419830481468205	-1.8630529601919092	-2.203248056339728	-1.0763742577792499	-1.6832161914103874	2.2911576965881437
93474	0.13932327137585526	2.6776589533408455	0.7676586745467939	-0.054058009162127774	1.6220603190720801	1.6581598476981076	0.2912420759045937	1.4965835876553217	4.19232693920011	0.7143196883491376	3.016707127178757	1.7941699506519395	4.135305343414661	0.3144611287019407	3.3954378335299396	1.2912856569529099	3.2894735728879794	2.6437427632920576	1.8568804420149354	3.456543058033655	0.016688481863861848	2.601780437682862	1.4775529118271478	0.5758447198114622	3.329906305981207	3.4944333659307336	-1.379782176617444	1.8810834500293374	3.699883733394388	0.6506824388522653	0.7174230900312988	0.3555542138800607	0.5256677789723134	3.936762922900713	1.7548297226457934	4.62813165257373	1.2372585224128565	0.13534369151591918	4.7971667610332185	4.59191823736385	-1.931951244598493	2.273888583329403	3.453356257654559	-2.1859218633257056	3.2480697962786698	3.4256109865748066	5.731689216939866	2.3430012568799343	3.470268530024212	3.4009699670631566	1.3156756161897354	-2.789419595913548	3.6658808079836263	1.5351243950827798	-0.4966725692813111	2.672021833321284	2.429582712723585	4.194866745065553	-0.1724871066360496	1.4575294844592313	-0.676752118433144	3.5338278318759277	0.793839078107826	3.633836646828522	-1.0573705728657792	4.275396550339047	4.996247405452176	3.4452736214216126	1.2151565770277868	2.5386969391620435	5.108151423638712	5.087142767438211	0.6983497996933141	5.28254764875837	2.6873443165712563	1.448448854830825	4.520686202452964	2.792314944005642	3.7586749657378453	0.7443179190249657	1.7753767995674044	-0.980487213477153	1.5779756123437083	1.5370369586162134	6.1650991763206155	-0.5240582636629111	0.1966777740694546	0.27209039407107527	1.1699104619060527	5.192179644188528	1.961033504806431	6.100573372550793
93560	0.3500332479800328	-0.19940810740551596	0.46591873550960994	-0.06505302697828907	0.8651555869388514	-0.4988078521359106	1.9048536039885606	-0.22153890717646224	0.16554210658952911	1.8182864651688158	2.1263927393903805	0.5003004605915615	0.36971373671148156	0.6609024524449559	1.054281420920367	1.4659837509510927	-0.9699956613327662	-1.4067252456427255	-0.02637298781442221	0.4255883150932745	-0.17133155667435418	-1.4045562483702743	-1.2683866511018818	0.1434818432894303	-0.6009293866364351	0.7039670983490192	1.2299314081576058	1.0671104865959846	1.4187648838876554	-0.8784748652050808	0.16191748456126098	0.025703396545105672	0.13860290024364752	-0.039383016536442494	0.5624782169077008	-0.7202790740146474	-0.06422682345661637	0.4689530571465321	-0.2806493677825014	-1.511434645988615	0.7654189201357375	-0.5085824730734991	1.6881597201539726	-0.17330841618442183	-1.9148356637220914	-0.17093747290156605	-0.8191778803980377	-0.9369068887114398	0.6412890600294037	1.6886810315402323	0.08632141711232835	2.024181077442711	-0.4952431040703035	0.354072633356195	-0.9816754901785897	-0.639033560243746	-0.6611915901238627	-1.639836942970683	0.3184255196202601	0.2494617957982055	-0.988229304317491	0.17772538814591887	1.3432239453797115	-0.32709628476647956	0.8397175418782743	0.2301135484845569	-0.9817598249313021	-0.8059896800982673	-0.8440877864945233	-1.9165040367648762	-1.4726451005209629	-0.22986657282484665	-0.5142328568691061	0.44269001029550176	0.2794205882698281	-0.17878365504211402	-1.2633391033742587	0.5542874945098002	0.15553688651771042	0.695722912633503	-1.5251739859979097	1.4288807543092452	0.440198557200014	-1.4940122680401944	-1.6190415585228863	-0.20527220794814205	-0.2502004772676102	1.8167709044160998	-1.3884713002068527	0.48755857466534014	1.3166577501134067	-2.135546260190229
93625	2.3408487446822606	-0.6596016529051286	1.324154401829451	2.8332653865885518	0.2772618618041198	0.9068220634821414	0.985738746249917	0.9343315667917034	-2.049178001196431	0.6178618975350683	-1.5085865621345262	0.7218336509481755	-1.9676255884224245	1.7180351665683475	-1.6445009812165823	0.42346202877169037	-0.3523492262973974	0.509406961046685	0.5971240459897327	-1.1719059103156093	2.292028151274653	0.5418837610840619	1.3973317532632747	1.8332715079426887	-1.1885049381185686	-1.5801368521013468	3.576610757549161	-0.15855390634652067	-2.2749061927371774	2.2493586523939175	1.2623693504340905	2.047220410363295	1.7444186191854298	-1.712184834205582	0.35273948177942016	-2.051810435154861	1.1995198079167453	2.0903356172207497	-2.4863040927641844	-1.7280208621301663	3.933797989110759	0.3201143188324128	-2.380718476608125	4.460859333100476	0.05941710593442995	-1.1095390334960344	-2.9787132140809462	0.5556913386405928	-1.6318648526658732	-2.307294311926494	0.6709230890321398	4.437912170094171	-0.9417296715332372	0.5821939635565816	3.4293365283576795	-0.2728918717180224	0.14608908195509995	-0.9234698146205933	2.203722064463671	0.836033635007458	3.721620582512465	-1.337026133276861	1.1697397841334654	-1.088409219776437	2.7906161545140318	-2.058349539751072	-2.581309385142516	-0.7869644064218089	1.6394738665929163	0.6757394625246245	-2.490420612178691	-2.4166013196219533	1.9934291815458978	-3.3394988786478756	-0.4188155327073074	1.00330959270103	-1.666805313417239	-0.668127402874263	-1.7400955107439857	1.3903116667232198	1.4018617541961746	2.841998039108448	0.39161612499381504	1.3931200269081223	-3.290858284735338	3.2198272752226242	2.570392098198556	1.3198486671071792	1.7620673474692623	-3.4764630079189054	-0.3229499774089186	-2.677194239609939
93695	0.6895726738659107	-0.16133780944998077	-0.10322284151547767	1.8938028857823146	-1.9729575255830305	1.4360887886102511	-3.1599672397302405	0.8965353680691142	-2.7575407439380566	-3.3927352202438374	-6.639790490495114	-1.4027685380904504	-3.248435284549104	-0.13263385662969815	-4.20251889012647	-3.1949916654240775	0.9034258186559093	2.640842166050013	-0.002470014581750446	-2.784013305330478	2.3231985103578108	2.6883461985595343	3.580963254278054	0.8429374338231526	0.20730292689501523	-3.405854334919713	-0.04599118913608642	-2.7008107105587715	-5.360540622879904	3.3372918721114813	0.8600495123794507	1.3798947594500772	0.9828948405626872	-1.984162713506855	-1.3505417829443904	-0.9688067251500918	0.7293782261284913	0.47286374557347544	-2.2332121269440135	1.0912400340572619	1.8864396099390202	0.8284704306525611	-5.674838016906505	4.566694731735541	3.3606946145324823	-1.1431577638905484	-1.905042668190093	1.7795929163047846	-3.183850008660839	-5.652478007396686	0.4436062514142494	-0.5329480107466344	-0.6789045634036032	-0.5569480732733176	4.769046375874913	0.8730189612115473	1.10568153589103	1.6616505048569035	1.28361682104679	-0.2756105454495328	4.9212721910967145	-2.1338491844277208	-2.4643828698496577	-1.014277779254279	0.9146804209604984	-3.0625320283252657	-0.5685171965747945	0.41876524296374246	2.696349490778803	4.107575253910374	0.5657442269387041	-2.8227430737253845	2.4038744554349747	-4.525931788438963	-1.5942510701898214	0.8108610191512342	0.5136261354455307	-2.389231154725464	-2.2330039300025115	-0.7139115774476851	3.8458925718727124	-0.822341142212109	-0.7851785140496264	4.119738227368372	-0.20760271850059075	2.7742104642011967	2.141854744304663	-3.0290773438264487	4.199001582956431	-4.456148142267978	-3.4044201672337704	1.0130152454592325
93730	1.2747853922160601	-3.4966612700965585	-0.6238298333800103	2.1971801480411988	-1.9704620170994982	-0.7324516133656417	-1.8377248720178563	-0.8020117710965147	-4.573598803836113	-2.1818264262220826	-4.041342532955921	-0.4093596918411553	-4.314741096570809	-0.19038293955389393	-4.3723020392649605	-1.809950791425477	-1.681845393915831	-0.5092162763449944	-1.0204545631182806	-3.1059043410503255	0.51127920167327	-0.49686645525420126	-0.008736974831795974	0.41187045671627237	-4.0860269055001455	-4.189237318534766	2.6480272988086595	-2.7196236530798465	-5.549517299754834	1.2727384661780148	-1.1566375283995252	0.5762810944987296	-0.00017074938931327388	-4.140159497620065	-1.6577415264509852	-4.230982505988571	-0.38776438747369757	0.5335817406209264	-4.997652636986889	-3.7521882339310535	2.326978526145173	-1.3488182104112822	-6.257889135580945	2.92079482081333	-1.0340139268493083	-3.3470626170005593	-4.968813968377879	-0.6974612654375489	-4.443063654208162	-6.111326151188804	-1.8534963803912747	2.9695467227961267	-2.5014746340127276	-1.514908145229244	2.6202505109034355	-2.527494561314846	-1.6935024018840523	-2.050834381934107	0.15225059876543234	-0.9144839166343013	3.1860855385932703	-3.6514498255683936	-0.5111492168512977	-2.95048746665284	0.5022851443792622	-4.375297127166157	-5.334748577437202	-2.661292242070242	0.49839158152329593	-0.5134065117530708	-5.1142299500408805	-4.124722892839995	0.7580556865466774	-6.295844509740323	-2.3784909089326027	-0.6440354732976996	-3.5646755348734267	-2.7904072667934825	-4.493890867354989	-0.3205051090695038	0.47288414324323325	1.206244813585117	-1.9767657462042332	-0.04814754437164237	-5.588026503012826	2.385071076173247	1.7602451810454096	-0.8546116325418551	0.44793300601825703	-6.905379628368905	-2.944823970276397	-4.045023808208306
93736	0.0011489627790873258	0.39810921785877407	0.005942010011025678	0.5788146776971713	-1.230472112305609	0.7875669203194661	-1.5016329381862525	0.4872500466095577	-1.901387550782455	-1.7401938146952902	-4.571607791236728	-1.666899436861124	-2.381406487614308	0.010800108288580832	-2.702963479792855	-2.0881858894736487	-0.025614885031784218	1.080521993699766	-0.29623685794325527	-2.2716617767036356	1.7341515801645144	1.1354890131397788	2.1921756066270333	0.3245376929001465	0.6314712752728378	-2.22412552808326	-0.4524268008117051	-1.5560455405397	-3.1728626953591452	1.7945769301741619	1.063967612004199	0.7768210481023141	0.6736971887134358	-1.3818343144980592	-0.9696931800768457	-0.9122825696762629	0.2862828810386391	0.2089777261826209	-1.6037019402015478	0.4711154520256474	1.5224777268323961	0.29488429139699346	-2.9217676079025305	3.447149708332719	1.5869863914804432	-0.8515351861564591	-1.8657186342253316	0.6664438704492581	-1.9101789457119516	-2.9550881075190336	0.7673895216496989	-0.23402547110938832	-1.047749339923329	-0.3024384957711763	2.846901928243711	0.7157222729531778	0.6051135550099227	0.26510937025431386	1.2027149612925694	-0.34725531397111786	2.7755014827254905	-1.5250206392168906	-1.9093561912484136	-1.061411687011595	1.2193434510747683	-2.287969401274414	-0.23938005043046828	0.009296793963075208	1.3843695975198562	2.284240160687719	0.4736868759202786	-2.664100435858191	1.3052243256058076	-2.993931781434767	-1.29640505851842	0.3640134847177221	-0.0319203210763348	-1.7650821685663347	-1.2977032604996106	-0.6101520686335776	1.9935255244570809	-0.5358376770581317	-0.2723554989019006	2.602773723522149	-0.4568380819442238	1.4210046147149455	0.8576719583893718	-1.8866855307302965	2.609497201402899	-2.580675496586501	-2.029539222865057	-0.2557937172825381
