D01E01D D01E02D D01E03D D01E04D D01E05D D01E06D D01E07D D01E08D D01E09D D01E10D D04E01D D04E02D D04E03D D04E04D D04E05D D04E06D D04E07D D04E08D D04E09D D04E10D D07E01D D07E02D D07E03D D07E04D D07E05D D07E06D D07E07D D07E08D D07E09D D07E10D D14E01D D14E02D D14E03D D14E04D D14E05D D14E06D D14E07D D14E08D D14E09D D14E10D D21E01D D21E02D D21E03D D21E04D D21E05D D21E06D D21E07D D21E08D D21E09D D21E10D D28E01D D28E02D D28E03D D28E04D D28E05D D28E06D D28E07D D28E08D D28E09D D28E10D D35E01D D35E02D D35E03D D35E04D D35E05D D35E06D D35E07D D35E08D D35E09D D35E10D D42E01D D42E02D D42E03D D42E04D D42E05D D42E06D D42E07D D42E08D D42E09D D42E10D
D04E01D 1 1 1 1 1 1 1 1 1 1 0 -1 -1 -1 0.62 -1 -1 -1 -0.99 -1 -1 -1 0.94 -0.98 -0.99 -1 -1 -0.99 -1 -1 -1 -0.86 -0.92 -0.99 -1 -1 -1 -1 -1 -1 -0.93 -1 -1 -1 -1 -0.85 -1 -1 -1 -0.91 -1 -1 -0.99 -0.2 -0.95 -0.97 0.86 -0.3 -0.95 -0.66 -1 -1 -0.99 -0.94 -1 -1 -0.92 -0.74 -0.85 -1 -0.89 -0.99 -1 -0.81 -0.98 -0.14 -0.61 -1 -0.71 0.28
D04E02D 0.98 0.98 0.99 1 0.99 0.66 1 0.95 0.97 0.99 -1 0 -1 -1 -0.64 -1 -1 -1 -1 -1 -1 -1 -0.52 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.07 -1 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.88 -1 -0.98 -0.72 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -0.88
D04E03D 0.76 0.92 0.98 0.98 0.94 0.85 0.99 0.7 0.93 0.79 -1 -1 0 -1 -0.91 -1 -1 -1 -1 -1 -1 -1 -0.75 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -0.24 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -0.97 -1 -0.72 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -0.82
D04E04D 0.89 0.97 0.97 1 0.98 0.84 1 0.83 1 0.98 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.96 -0.81 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1
D04E05D 1 1 1 1 1 1 1 1 1 1 0.62 -0.64 -0.91 -1 0 -0.99 -0.91 -0.99 -0.97 -1 -0.94 -1 0.99 -0.04 -0.67 -1 -0.97 -0.96 -0.97 -1 -0.95 -0.36 -0.75 -0.97 -1 -1 -1 -1 0.73 -0.97 0.34 -1 -0.99 -0.94 -1 -0.57 -1 -1 -1 -0.56 -0.73 -0.85 -0.65 -0.69 0.23 -0.92 0.95 0.06 -0.47 -0.55 -0.86 -0.96 -0.4 -0.4 -0.98 -0.58 -0.71 0.06 0.11 0.04 -0.7 -0.93 -0.97 -0.3 0.11 0.73 0.86 -0.74 0.86 0.86
D04E06D 0.62 0.91 0.83 0.98 0.88 0.64 0.91 -0.15 0.84 0.87 -1 -1 -1 -1 -0.99 0 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98
D04E07D 0.62 0.69 0.72 0.67 0.94 0.44 0.92 0.17 0.85 0.37 -1 -1 -1 -1 -0.91 -1 0 -1 -1 -1 -1 -1 -0.41 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.19 -1 -0.99 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.86 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1
D04E08D -0.01 0.71 0.17 0.85 0.64 0.25 0.85 -0.55 0.85 0.63 -1 -1 -1 -1 -0.99 -1 -1 0 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.85 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.43 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -0.98 -1 -1 -1 -1
D04E09D 0.01 0.94 -0.58 0.02 0.15 -0.1 0.42 -0.58 0.42 0.05 -0.99 -1 -1 -1 -0.97 -1 -1 -1 0 -1 -1 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.65 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -0.77 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -0.96 -1 -1 -1 -1
D04E10D 0.54 0.62 0.67 1 0.69 0.1 0.89 -0.16 0.89 0.86 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.95 -1 -1 -1 -1
D07E01D 0.93 0.96 0.98 1 0.88 0.9 1 0.65 0.96 0.99 -1 -1 -1 -1 -0.94 -1 -1 -1 -1 -1 0 -1 -0.91 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -0.99 -1 -1 -0.99 -0.98 -1 -0.78 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -0.96 -1 -1 -1 -0.97 -0.81 -1 -1 -1 -1
