D01E01D D01E02D D01E03D D01E04D D01E05D D01E06D D01E07D D01E08D D01E09D D01E10D D04E01D D04E02D D04E03D D04E04D D04E05D D04E06D D04E07D D04E08D D04E09D D04E10D D07E01D D07E02D D07E03D D07E04D D07E05D D07E06D D07E07D D07E08D D07E09D D07E10D D14E01D D14E02D D14E03D D14E04D D14E05D D14E06D D14E07D D14E08D D14E09D D14E10D D21E01D D21E02D D21E03D D21E04D D21E05D D21E06D D21E07D D21E08D D21E09D D21E10D D28E01D D28E02D D28E03D D28E04D D28E05D D28E06D D28E07D D28E08D D28E09D D28E10D D35E01D D35E02D D35E03D D35E04D D35E05D D35E06D D35E07D D35E08D D35E09D D35E10D D42E01D D42E02D D42E03D D42E04D D42E05D D42E06D D42E07D D42E08D D42E09D D42E10D
D21E02D 0.92 0.93 0.91 0.95 0.32 0.47 0.99 0.79 0.96 0.9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99
D21E03D 1 1 1 1 0.99 0.98 1 0.98 1 1 -1 -0.96 -1 -1 -0.99 -1 -0.99 -1 -1 -1 -1 -1 -0.78 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.72 -1 -0.99 -1 0 -1 -1 -0.97 -1 -1 -1 -1 -0.98 -0.98 -1 -0.95 -0.99 -1 -0.92 -0.98 -1 -1 -1 -1 -1 -0.98 -1 -0.99 -1 -1 -0.99 -1 -1 -1 -1 -1 -0.94 -0.64 -0.96 -1 -0.98 -0.43
D21E04D 0.65 0.93 0.96 0.95 0.02 0.14 0.96 0.56 0.77 0.77 -1 -1 -1 -1 -0.94 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.73 -1 -0.96 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D21E05D 0.98 1 1 1 0.95 0.83 1 0.94 0.96 0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.93 -1 -0.99 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.99 -1 -0.91 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -0.92 -0.98 -1 -0.99 -0.97
D21E06D 0.71 0.96 0.96 1 0.82 0.4 0.98 0.68 0.89 0.86 -0.85 -1 -1 -1 -0.57 -1 -1 -1 -1 -1 -1 -1 -0.41 -1 -0.91 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.44 -1 -1 -1 -0.97 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.85 -1 -1 -0.99 -0.99 -1 -1 -1 -1 -0.98
D21E07D 1 1 1 1 0.99 0.99 1 0.97 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -0.89 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -0.78 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -0.95 -1 -1 -0.89 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -0.97 -0.96 -1 -0.99 -0.92
D21E08D 0.92 0.99 0.89 1 0.98 0.99 1 0.99 0.88 0.87 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -0.99 -1 -1 -1 -1 -1 -0.99 -1 -0.99 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1
D21E09D 0.96 0.94 0.74 0.94 0.9 0.54 0.99 0.78 0.99 0.69 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -0.99 -0.95 -0.99 -0.21 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -0.93 -1 -1 -1 -0.57
D21E10D 0.63 0.89 0.57 0.98 0.54 0.35 0.98 -0.19 0.74 0.86 -0.91 -1 -1 -1 -0.56 -1 -1 -1 -1 -1 -1 -1 -0.76 -1 -0.93 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.47 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -0.98 -0.96 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -0.98 -0.98 -1 -1 -1 -1
D28E01D -0.11 0.71 0.38 0.13 -0.26 -0.06 0.64 -0.78 0.39 0.37 -1 -1 -1 -1 -0.73 -1 -1 -1 -1 -1 -0.99 -1 -0.65 -1 -0.98 -1 -1 -1 -1 -1 -1 -0.88 -1 -1 -1 -1 -1 -1 -0.43 -1 -0.98 -1 -0.98 -1 -1 -1 -1 -0.99 -1 -1 0 -1 -1 -1 -0.99 -0.98 -0.6 -1 -1 -1 -1 -0.99 -1 -1 -1 -0.97 -0.99 -1 -1 -1 -1 -1 -1 -0.99 -0.99 -0.98 -1 -1 -1 -1
D28E02D -0.4 0.44 -0.16 0.8 -0.62 -0.45 0.6 -0.29 -0.07 0.01 -1 -1 -1 -1 -0.85 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.69 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D28E03D -0.28 0.32 0.35 0.7 -0.58 -0.92 0.47 -0.7 -0.25 0.24 -0.99 -1 -1 -1 -0.65 -1 -1 -1 -1 -1 -1 -1 -0.88 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.73 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D28E04D 0.36 0.94 0.28 0.85 0.43 -0.19 0.77 -0.05 -0.02 -0.36 -0.2 -0.88 -0.97 -1 -0.69 -1 -1 -1 -1 -1 -0.99 -1 0.42 -0.97 -0.44 -1 -1 -1 -1 -1 -1 -0.92 -1 -0.99 -1 -1 -0.91 -1 -0.14 -1 -0.89 -0.99 -0.95 -1 -0.99 -1 -0.95 -1 -0.99 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -0.98 -1 -0.35 -0.94 -1 -0.99 -1 -0.96 -1 -1 -1 -0.78 -0.99 -1 -1 -1 -1
D28E05D 0.56 0.95 0.7 0.98 0.66 0.56 0.93 0.65 0.46 0.65 -0.95 -1 -0.97 -0.99 0.23 -1 -1 -1 -1 -1 -0.98 -1 0.49 -0.93 -0.95 -1 -1 -1 -1 -1 -1 -0.98 -1 -0.8 -0.99 -1 -0.94 -1 -0.76 -1 -0.98 -1 -0.99 -1 -0.99 -1 -1 -1 -0.95 -1 -0.99 -1 -1 -1 0 -1 -0.99 -1 -1 -0.98 -1 -1 -1 -1 -1 -0.94 -1 -0.99 -0.99 -1 -0.92 -1 -1 -1 -1 -0.99 -1 -1 -1 -0.88
D28E06D 0.95 1 0.99 1 0.98 0.98 0.98 0.95 0.9 0.95 -0.97 -0.98 -1 -0.96 -0.92 -1 -1 -0.99 -0.97 -1 -1 -1 -0.5 -1 -0.76 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -0.37 -1 -1 -1 -1 -1 -1 -0.96 -1 -1 -0.99 -0.98 -0.98 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -0.98 -0.99 -0.99 -0.97 -1 -1 -0.96 -1 -1 -0.63 -1 -0.91 -0.98
D28E07D 0.88 1 0.85 1 0.92 0.46 0.96 0.72 0.81 0.57 0.86 -0.72 -0.72 -0.81 0.95 -0.99 -0.86 -0.43 -0.77 -1 -0.78 -0.97 0.79 -0.87 0.97 -1 -1 -0.91 -0.98 -0.97 -1 -0.96 -0.99 -0.99 -0.86 -1 -0.88 -0.9 0.98 -0.99 -0.96 -1 -0.92 -1 -0.91 -1 -0.89 -0.99 -0.21 -0.96 -0.6 -1 -1 -1 -0.99 -1 0 -0.98 -0.96 -1 -0.95 -0.29 -0.99 -1 -0.99 -0.27 -0.85 -0.98 -0.97 -1 -0.24 -0.97 -1 -0.79 0 -0.98 -0.75 -0.99 -0.75 -0.79
D28E08D 0.81 0.79 0.88 0.98 0.57 0.09 0.95 0.18 0.31 0.73 -0.3 -1 -1 -1 0.06 -1 -1 -1 -1 -1 -0.98 -1 -0.29 -1 -0.04 -1 -1 -1 -1 -0.99 -1 -0.99 -1 -0.83 -1 -1 -1 -1 0.91 -1 -0.99 -1 -0.98 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 0 -1 -1 -1 -0.99 -1 -1 -1 -0.97 -1 -1 -1 -1 -0.77 -1 -1 -0.96 -0.99 -0.98 -1 -1 -0.99 -0.92
D28E09D -0.87 -0.13 -0.32 0.17 -0.69 -0.81 -0.56 -0.49 0.06 -0.56 -0.95 -1 -1 -1 -0.47 -1 -1 -1 -1 -1 -1 -1 -0.91 -1 -0.74 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.29 -1 -0.99 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -1 0 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -0.97 -1 -1 -1 -1 -1
D28E10D -0.23 0.8 0.35 0.72 0.13 -0.31 0.7 0.24 0.43 0.16 -0.66 -1 -1 -1 -0.55 -1 -1 -1 -1 -1 -1 -1 -0.78 -1 -0.66 -1 -1 -0.99 -1 -0.98 -1 -0.98 -1 -1 -1 -1 -1 -1 -0.04 -1 -0.96 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 0 -1 -0.82 -1 -0.99 -1 -1 -0.96 -1 -1 -1 -0.87 -1 -1 -1 -0.56 -1 -0.98 -1 -0.99 -1
D35E01D 0.63 0.97 0.88 0.98 0.7 0.44 0.96 0.75 0.89 0.54 -1 -1 -1 -1 -0.86 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.67 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.95 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99
D35E02D 1 1 1 1 1 1 1 0.94 0.99 1 -1 -1 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 -1 -0.69 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.42 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.99 -1 -1 -0.99 -1 -0.99 -0.29 -0.99 -0.97 -0.82 -1 0 -1 -0.99 -1 -1 -1 -0.89 -0.96 -0.97 -0.96 -1 -1 -0.99 -0.98 -0.97 -0.97 -1 -0.98 -0.79
D35E03D 0.55 0.81 0.87 0.97 -0.46 0.12 0.96 0.25 0.74 0.53 -0.99 -1 -1 -1 -0.4 -1 -1 -1 -1 -1 -1 -1 -0.96 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.53 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D35E04D 0.83 0.99 0.96 1 0.94 0.65 0.88 0.19 0.77 0.87 -0.94 -1 -0.99 -1 -0.4 -1 -1 -1 -1 -1 -1 -1 -0.85 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -0.9 -1 -1 -1 -1 -0.25 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -0.99 -1 -0.99 -1 0 -1 -0.99 -1 -1 -1 -1 -0.99 -1 -1 -0.99 -0.99 -0.94 -0.99 -1 -1 -0.99
D35E05D -0.18 0.83 -0.24 0.75 -0.43 0.45 0.89 -0.45 -0.21 0.2 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D35E06D 1 1 1 1 1 0.99 1 1 1 1 -1 -1 -1 -1 -0.58 -1 -1 -1 -1 -1 -1 -1 -0.46 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -0.99 -0.35 -0.94 -1 -0.27 -0.97 -1 -1 -1 -1 -1 -0.99 -1 0 -1 -0.97 -0.99 -0.98 -1 -1 -0.99 -0.99 -1 -0.32 -0.76 -1 -0.66 -0.02
D35E07D 0.99 1 0.99 1 0.98 0.89 1 0.97 0.99 0.99 -0.92 -1 -1 -1 -0.71 -1 -1 -1 -1 -1 -1 -1 0.68 -1 -0.95 -1 -1 -1 -1 -0.99 -1 -0.99 -1 -1 -1 -1 -1 -1 -0.55 -1 -0.81 -1 -1 -1 -1 -1 -1 -1 -0.98 -0.99 -0.99 -0.99 -1 -0.94 -1 -1 -0.85 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 0 -0.97 -0.94 -1 -0.41 -1 -1 -1 -1 -0.83 -0.99 -1 -0.94 -0.9
D35E08D -0.76 0.08 -0.61 0.46 0.06 -0.68 -0.05 0.05 0.58 -0.62 -0.74 -0.99 -1 -1 0.06 -1 -1 -1 -1 -1 -0.99 -1 -0.73 -1 -0.56 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 0.52 -1 -0.99 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.98 -0.98 -1 -1 -1 -1 -0.89 -1 -1 -1 -0.97 -0.97 0 -1 -1 -0.94 -1 -1 -1 -0.98 -1 -1 -1 -0.98 -1
D35E09D -0.04 0.6 0.7 0.97 0.56 0.41 0.88 0.24 0.49 0.49 -0.85 -1 -1 -1 0.11 -1 -1 -1 -1 -1 -1 -1 -0.6 -1 -0.56 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.79 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.99 -0.99 -0.97 -1 -1 -1 -1 -0.96 -1 -1 -1 -0.99 -0.94 -1 0 -1 -0.94 -1 -1 -0.96 -1 -1 -1 -1 -1 -1
D35E10D -0.63 -0.34 -0.44 0.35 -0.34 -0.52 0.77 0.36 0.54 -0.08 -1 -1 -1 -1 0.04 -1 -1 -1 -1 -1 -1 -1 -0.19 -1 -0.57 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.53 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -0.98 -1 -1 -1 0 -0.87 -1 -1 -1 -1 -1 -1 -1 -1 -1
D42E01D 1 1 1 1 1 1 1 0.97 1 1 -0.89 -1 -1 -1 -0.7 -1 -1 -1 -1 -0.99 -0.96 -1 0.67 -0.99 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 0.58 -1 -0.96 -1 -1 -1 -1 -0.85 -1 -1 -1 -1 -1 -1 -1 -0.96 -0.92 -0.97 -0.24 -0.77 -0.97 -0.87 -1 -0.96 -1 -0.99 -1 -1 -0.41 -0.94 -0.94 -0.87 0 -1 -1 -0.95 -0.98 -0.9 -0.51 -1 -0.92 -0.85
D42E02D 0.73 0.98 0.69 0.99 0.9 0.86 0.96 0.77 0.96 0.89 -0.99 -1 -1 -1 -0.93 -1 -1 -1 -1 -1 -1 -1 -0.61 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.88 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1
D42E03D 0.49 0.33 0.13 0.89 -0.39 -0.25 0.9 0.31 0.5 0.57 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -0.88 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.77 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1
D42E04D 0.98 0.99 1 1 0.8 0.91 1 0.93 0.96 0.94 -0.81 -1 -1 -1 -0.3 -1 -1 -0.99 -1 -1 -1 -1 0.56 -1 -0.98 -1 -1 -1 -1 -0.98 -1 -0.98 -1 -1 -1 -1 -1 -1 -0.53 -1 -0.97 -1 -1 -1 -1 -0.99 -0.97 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.96 -0.79 -0.96 -1 -1 -1 -0.99 -1 -0.99 -1 -0.99 -1 -1 -0.96 -1 -0.95 -1 -1 0 -1 -0.97 -0.99 -1 -1 -0.99
D42E05D 0.98 0.96 0.97 1 0.98 0.97 1 0.99 1 0.97 -0.98 -1 -1 -1 0.11 -1 -1 -1 -0.96 -1 -0.97 -1 0.93 -1 -0.92 -1 -1 -1 -1 -0.99 -1 -0.99 -1 -0.98 -0.99 -1 -0.99 -1 -0.2 -0.97 -0.97 -1 -0.94 -1 -1 -0.99 -1 -1 -1 -0.98 -0.99 -1 -1 -0.78 -1 -1 0 -0.99 -0.97 -0.56 -1 -0.98 -1 -0.99 -1 -1 -1 -0.98 -1 -1 -0.98 -1 -1 -1 0 -1 -1 -1 -0.99 -0.94
D42E06D 0.66 0.31 0.4 0.53 0.62 0.58 0.74 0.08 0.74 0.17 -0.14 -0.98 -0.97 -0.99 0.73 -1 -1 -0.98 -0.96 -0.95 -0.81 -0.99 0.21 -0.99 0.47 -1 -1 -1 -1 -0.98 -1 -0.96 -0.99 -0.99 -0.88 -1 -0.93 -0.95 0.91 -0.98 -0.7 -1 -0.64 -1 -0.92 -1 -0.97 -1 -0.93 -0.98 -0.98 -1 -1 -0.99 -0.99 -1 -0.98 -0.98 -1 -1 -1 -0.97 -1 -0.94 -1 -0.32 -0.83 -1 -1 -1 -0.9 -1 -1 -0.97 -1 0 -0.99 -1 -0.98 -0.99
D42E07D -0.69 0.11 -0.43 -0.12 -0.29 -0.81 -0.57 -0.91 -0.11 -0.73 -0.61 -1 -1 -1 0.86 -1 -0.99 -1 -1 -1 -1 -1 -0.14 -0.93 0.05 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.95 -1 -1 -1 0.68 -0.99 -1 -1 -0.96 -1 -0.98 -1 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 -0.63 -0.75 -1 -1 -0.98 -1 -0.97 -1 -0.99 -1 -0.76 -0.99 -1 -1 -1 -0.51 -1 -1 -0.99 -1 -0.99 0 -1 -1 -0.98
D42E08D -0.17 -0.18 0.19 0.93 -0.28 0.09 0.72 -0.48 -0.02 0.59 -1 -1 -1 -1 -0.74 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.43 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1
D42E09D -0.53 0.78 0.05 0.53 -0.06 -0.47 0.16 -0.67 -0.11 -0.31 -0.71 -1 -1 -1 0.86 -1 -1 -1 -1 -1 -1 -1 0.19 -0.98 0.52 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 0.84 -1 -1 -1 -0.98 -1 -0.99 -1 -0.99 -0.99 -1 -1 -1 -1 -1 -1 -1 -0.91 -0.75 -0.99 -1 -0.99 -1 -0.98 -1 -1 -1 -0.66 -0.94 -0.98 -1 -1 -0.92 -1 -1 -1 -0.99 -0.98 -1 -1 0 -0.81
D42E10D 0.14 0.6 0.4 0.75 0.46 0.45 0.89 0.63 0.14 0.2 0.28 -0.88 -0.82 -1 0.86 -0.98 -1 -1 -1 -1 -1 -1 0.48 -0.99 0.66 -1 -0.99 -1 -1 -0.99 -1 -1 -1 -1 -0.84 -0.99 -0.98 -0.98 0.88 -0.99 -0.98 -0.99 -0.43 -1 -0.97 -0.98 -0.92 -1 -0.57 -1 -1 -1 -1 -1 -0.88 -0.98 -0.79 -0.92 -1 -1 -0.99 -0.79 -1 -0.99 -1 -0.02 -0.9 -1 -1 -1 -0.85 -1 -1 -0.99 -0.94 -0.99 -0.98 -1 -0.81 0
