D01E01C D01E02C D01E03C D01E04C D01E05C D01E06C D01E07C D01E08C D01E09C D01E10C D04E01C D04E02C D04E03C D04E04C D04E05C D04E06C D04E07C D04E08C D04E09C D04E10C D07E01C D07E02C D07E03C D07E04C D07E05C D07E06C D07E07C D07E08C D07E09C D07E10C D14E01C D14E02C D14E03C D14E04C D14E05C D14E06C D14E07C D14E08C D14E09C D14E10C D21E01C D21E02C D21E03C D21E04C D21E05C D21E06C D21E07C D21E08C D21E09C D21E10C D28E01C D28E02C D28E03C D28E04C D28E05C D28E06C D28E07C D28E08C D28E09C D28E10C D35E01C D35E02C D35E03C D35E04C D35E05C D35E06C D35E07C D35E08C D35E09C D35E10C D42E01C D42E02C D42E03C D42E04C D42E05C D42E06C D42E07C D42E08C D42E09C D42E10C
D07E01C 1 0.98 0.98 0.92 0.99 1 1 1 0.97 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -0.99 -1 0.96 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.83 -1 0.29 -1 -1 -0.88
D07E02C 1 0.99 1 0.95 1 1 1 1 0.97 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.26 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.67 -1 0.15 -1 -1 -1
D07E03C 1 1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -0.87 -1 -1 0.47 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 0.93 -1 0.43 -1 -0.8 -0.99
D07E04C 1 1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.99 -0.95 -1 -1 0.71 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.89 -1 0.29 -1 -1 -0.98
D07E05C 1 1 0.99 0.95 1 1 1 1 0.98 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 0.89 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.66 -1 -0.46 -1 -0.99 -0.99
D07E06C 1 1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.1 -1 -0.71 -1 -1 -0.99
D07E07C 1 1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -0.99 -0.99 -0.69 -0.92 -1 0.39 -1 -0.91 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 0.77 -1 -0.1 -1 -1 -0.65
D07E08C 1 0.99 1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.46 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.78 -1 -0.29 -1 -0.98 -0.99
D07E09C 1 1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.19 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.67 -1 -0.99 -1 -1 -1
D07E10C 1 1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -0.95 -1 -0.99 -0.99 -1 -0.31 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 0.27 -1 -0.42 -1 -0.99 -0.91
D14E01C -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -0.99 -1 -1 -1 -0.99 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -0.92 -0.99 -0.97 -0.78 -0.81 -0.99 -0.98 -0.99 -0.99 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D14E02C -0.74 -0.99 -0.9 -0.95 -0.99 -0.95 -0.7 -0.82 -0.35 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D14E03C -0.98 -0.94 -0.99 -0.99 -1 -1 -0.91 -0.97 -0.82 -0.93 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D14E04C -0.73 -0.45 -0.99 -0.98 -0.99 -0.74 -0.3 -0.04 -0.64 -0.75 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D14E05C -0.99 -0.92 -0.93 -0.97 -0.98 -0.83 -0.87 -0.73 -1 -0.76 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
