D01E01I D01E02I D01E03I D01E04I D01E05I D01E06I D01E07I D01E08I D01E09I D01E10I D04E01I D04E02I D04E03I D04E04I D04E05I D04E06I D04E07I D04E08I D04E09I D04E10I D07E01I D07E02I D07E03I D07E04I D07E05I D07E06I D07E07I D07E08I D07E09I D07E10I D14E01I D14E02I D14E03I D14E04I D14E05I D14E06I D14E07I D14E08I D14E09I D14E10I D21E01I D21E02I D21E03I D21E04I D21E05I D21E06I D21E07I D21E08I D21E09I D21E10I D28E01I D28E02I D28E03I D28E04I D28E05I D28E06I D28E07I D28E08I D28E09I D28E10I D35E01I D35E02I D35E03I D35E04I D35E05I D35E06I D35E07I D35E08I D35E09I D35E10I D42E01I D42E02I D42E03I D42E04I D42E05I D42E06I D42E07I D42E08I D42E09I D42E10I
D04E01I -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -0.98 0 -1 -1 -1 -1 -1 -1 -1 -1 0.88 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.4 -0.96 -0.78 -1 -0.85 -1 -1 -1 -1 -1 -0.99 -1 -1 -0.99 -1 -0.99 -1 -1 -1 -1 -1 0.99 -1 0.06 -0.02 -0.96 -1 -1 -0.99 -0.01 -1 -1 -0.99 -0.98 -1
D04E02I -0.08 -0.22 0.83 0.01 0.99 0.43 0.85 -0.14 0.77 0.98 -1 0 -1 -0.97 -0.98 -0.82 0.01 -1 -0.99 1 -0.78 -1 -1 -0.97 -1 -1 -0.99 -1 -1 -0.99 0.25 -0.09 -0.35 -0.75 -0.27 -0.95 -0.36 -1 -1 -1 -0.76 -0.96 -0.97 -0.99 -0.99 0.2 -1 -1 -0.83 0.26 -0.71 -1 -0.98 -0.99 -0.96 -0.61 -0.93 -0.92 -0.98 -0.97 -0.52 -1 -1 -1 -0.92 0.23 0.99 -0.84 0.74 0.49 0.73 -0.99 -0.74 -1 0.91 -0.98 -0.85 -1 -0.89 -0.78
D04E03I -0.99 -1 -0.99 -1 -0.97 -1 -0.99 -0.99 -0.97 -0.78 -1 -1 0 -1 -1 -1 -1 -1 -1 -0.8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.78 -1 -1 -1 -0.94 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.12 -1 -0.96 -0.94 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1
D04E04I -1 -1 -0.99 -1 -0.97 -1 -0.96 -1 -0.99 -0.98 -1 -0.97 -1 0 -1 -1 -1 -1 -1 -0.28 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.74 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.5 -1 -0.98 -0.67 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D04E05I -0.69 -0.84 -0.64 -0.94 0.05 -0.66 -0.07 -0.75 0.24 0.19 -1 -0.98 -1 -1 0 -1 -0.92 -1 -1 -0.9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D04E06I -0.98 -1 -0.93 -1 -0.93 -0.99 -0.91 -1 -0.88 -0.76 -1 -0.82 -1 -1 -1 0 -1 -1 -1 0.27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.49 -0.96 -0.89 -1 -0.5 -1 -1 -1 -1 -0.99 -0.98 -0.85 -1 -1 -1 -0.99 -1 -1 -1 -0.99 -1 0.94 -1 -0.68 -0.76 -0.99 -1 -1 -0.99 -0.81 -1 -1 -1 -0.98 -1
D04E07I -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.01 -1 -1 -0.92 -1 0 -0.96 -0.24 1 -1 -0.97 -1 -1 -1 -0.99 -0.94 -1 -1 -1 -1 -1 -1 -1 -0.91 -0.91 -1 -0.99 -1 -1 -1 -1 -0.84 0.25 -0.48 1 -0.1 0.05 -0.99 0.6 -0.92 -0.93 -1 -1 -0.74 -0.9 -0.19 -1 0.14 -1 -0.15 -0.94 -1 -0.98 -0.99 -1 1 -0.96 1 1 -0.1 0.42 -0.89 0.72 0.98 -0.87 -0.38 -0.34 -0.28 -1
D04E08I -0.95 -0.98 -0.69 -0.99 -0.75 -0.89 -0.6 -0.97 -0.71 -0.45 -1 -1 -1 -1 -1 -1 -0.96 0 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.94 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1
D04E09I -0.07 0.08 0.74 0.01 0.75 0.5 0.95 -0.21 0.88 0.91 -1 -0.99 -1 -1 -1 -1 -0.24 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -0.94 -1 -1 -1 -1 -0.99 -1 -0.81 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1
D04E10I 1 1 1 1 1 1 1 1 1 1 0.88 1 -0.8 -0.28 -0.9 0.27 1 -0.98 -1 0 -0.63 -0.2 -0.72 0.87 -0.61 -0.1 -0.71 -0.15 -0.98 -0.23 0.99 0.98 1 0.47 0.89 -0.44 0.97 -0.7 -0.84 -0.72 1 0.07 -0.91 -0.96 -0.86 0.89 1 0.99 -0.68 -1 0.69 -0.32 0.95 0.74 0.56 1 0.15 0.99 0.42 0.54 -0.94 -0.47 0.7 -0.77 1 0.89 0.14 -0.17 0.91 0.98 1 -0.23 0.84 -0.56 0.97 -0.77 0.26 -0.77 -0.68 0.97
