D01E01I D01E02I D01E03I D01E04I D01E05I D01E06I D01E07I D01E08I D01E09I D01E10I D04E01I D04E02I D04E03I D04E04I D04E05I D04E06I D04E07I D04E08I D04E09I D04E10I D07E01I D07E02I D07E03I D07E04I D07E05I D07E06I D07E07I D07E08I D07E09I D07E10I D14E01I D14E02I D14E03I D14E04I D14E05I D14E06I D14E07I D14E08I D14E09I D14E10I D21E01I D21E02I D21E03I D21E04I D21E05I D21E06I D21E07I D21E08I D21E09I D21E10I D28E01I D28E02I D28E03I D28E04I D28E05I D28E06I D28E07I D28E08I D28E09I D28E10I D35E01I D35E02I D35E03I D35E04I D35E05I D35E06I D35E07I D35E08I D35E09I D35E10I D42E01I D42E02I D42E03I D42E04I D42E05I D42E06I D42E07I D42E08I D42E09I D42E10I
D14E01I 0.91 0.67 0.72 0.79 0.88 0.97 0.37 0.99 0.72 0.55 -1 -1 -1 -1 -1 -0.99 -0.99 -0.26 -1 -0.82 -0.92 -1 -1 -1 -0.56 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.97 -1 -1 0.31 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D14E02I 0.93 0.71 0.76 0.84 0.9 0.98 0.41 1 0.14 0.59 -1 -1 -1 -1 -1 -0.96 -0.9 -0.87 -1 -0.95 -0.58 -1 -0.83 -0.96 -0.39 -1 -0.96 -0.99 -1 -0.99 -1 0 -0.84 -1 -1 -1 -1 -1 -0.97 -0.71 -1 -1 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.41 -0.93 -0.98 -0.98 -0.7 -1 -1 -1 -0.99 -0.35 -1 -1 0.64 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1
D14E03I 1 0.93 0.95 0.98 0.99 1 0.69 1 0.95 0.85 -0.9 0.7 -0.39 -1 -0.68 0.38 0.01 0.99 -0.85 0.97 0.41 -0.26 -0.73 -0.98 0.92 0.01 0.91 -0.65 -0.44 -0.96 -1 -0.84 0 -1 -0.46 -0.95 -0.46 -0.99 -0.9 0.82 -0.95 -1 -0.94 -0.98 -0.82 -1 -0.68 -0.94 -0.98 -0.3 -0.97 -0.98 -0.96 -0.99 0.25 0.56 0.25 -0.42 -0.9 0.85 -1 -0.95 -0.96 -0.26 0.74 0.05 -0.83 0.76 -0.67 -0.79 -0.99 -0.99 0.24 -0.99 -0.85 -0.14 -0.95 -0.78 -1 -0.98
D14E04I 0.96 0.79 0.84 0.89 0.95 0.99 0.49 1 0.84 0.69 -1 -0.83 -1 -1 -0.99 -0.96 -1 -0.22 -0.99 0.05 0.36 -0.91 -0.94 -0.97 0.93 -0.99 -0.35 -1 -1 -0.99 -1 -1 -1 0 -0.98 -1 -1 -1 -1 -0.69 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -0.75 -0.63 -0.99 -1 -0.05 -1 -1 -1 -0.98 0.37 -0.98 -1 0.83 -1 -0.98 -1 -1 -0.27 -1 -1 -0.93 -1 -0.99 -1 -1
D14E05I 0.99 0.88 0.91 0.95 0.98 1 0.6 1 0.91 0.79 -0.96 -0.98 -0.51 -0.98 -0.99 0.07 -0.77 -0.95 -0.63 -0.74 0.91 -0.8 -0.96 -0.47 0.67 -0.94 0.66 -0.72 -0.85 -0.89 -1 -1 -0.46 -0.98 0 -0.96 -1 -1 -1 -0.91 -0.99 -1 -0.96 -1 -0.96 -1 -0.99 -1 -0.97 -0.91 -0.98 -0.99 -0.94 -0.97 -0.97 0.42 0.13 -0.66 -0.78 -0.83 -1 -0.91 -1 0.15 0.32 -0.99 -0.97 0.3 -0.96 -0.84 -1 -1 -0.01 -1 -0.95 -0.82 -0.99 -1 -0.99 -0.99
D14E06I 0.96 0.79 0.84 0.89 0.94 0.99 0.48 1 0.84 0.67 -1 -0.62 -1 -1 -1 -0.99 -1 0.31 -1 -0.78 -0.9 -0.96 -0.95 -1 0.45 -1 -0.91 -1 -1 -1 -1 -1 -0.95 -1 -0.96 0 -1 -1 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -0.94 -0.52 -0.99 -1 -0.58 -1 -1 -1 -0.99 0.04 -1 -1 0.65 -1 -1 -1 -1 -0.72 -1 -1 -1 -1 -1 -1 -1
D14E07I 0.94 0.1 0.23 0.85 0.6 0.91 0.44 1 0.8 0.63 -1 -0.93 -0.94 -1 -1 -0.86 -0.99 0.16 -0.97 -0.59 0.63 -0.58 -0.79 -0.99 0.88 -1 -0.79 -1 -1 -1 -1 -1 -0.46 -1 -1 -1 0 -1 -1 -1 -1 -1 -0.98 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.69 -0.9 -0.8 -1 0 -1 -1 -1 -0.71 0.53 -1 -1 0.48 -0.97 -0.99 -1 -1 -0.92 -1 -1 -1 -1 -1 -1 -1
D14E08I 0.86 0.61 0.66 0.73 0.82 0.95 0.33 0.98 0.66 0.49 -1 -0.96 -1 -1 -1 -1 -1 -0.45 -1 -0.95 -0.79 -0.96 -0.99 -1 -0.32 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -0.99 -1 -0.7 -1 -1 -1 -1 0.04 -0.98 -1 0.3 -1 -1 -1 -1 -0.82 -1 -1 -1 -1 -1 -1 -1
D14E09I 0.99 0.87 0.9 0.95 0.86 1 0.59 1 0.9 0.78 -0.99 -0.92 -0.45 -0.98 -0.99 -0.56 -0.99 -0.24 -0.92 -0.76 0.64 -0.29 -0.09 -0.96 0.96 -0.94 0.13 -0.61 -0.97 -0.92 -1 -0.97 -0.9 -1 -1 -1 -1 -1 0 -0.99 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -0.97 -0.99 -0.95 -0.98 -1 -0.92 -0.71 -0.48 -0.94 -0.95 -0.81 -1 -1 -1 -0.91 0.21 -0.86 -1 0.69 -0.95 -0.98 -0.98 -1 -0.59 -0.99 -1 -0.87 -0.94 -1 -1 -0.99
D14E10I 1 0.95 0.97 0.98 1 1 0.73 1 0.97 0.88 -0.76 0.37 0.18 -0.95 -0.99 0.7 -0.23 -0.3 -0.62 -0.56 0.98 -0.03 0.81 -0.43 0.84 -0.49 0.59 -0.26 -0.77 -0.53 -0.99 -0.71 0.82 -0.69 -0.91 -0.95 -1 -1 -0.99 0 -0.83 -0.84 -0.87 -0.68 -0.97 -1 -1 -0.99 -0.96 -0.87 -0.79 -0.85 -0.96 -0.98 -0.6 -0.07 0.14 0.24 -0.26 0.52 -0.99 -0.71 -0.97 0.43 -0.2 -0.92 -0.99 0.81 -0.95 -0.89 -0.95 -0.99 -0.66 -0.87 -0.97 -0.18 -1 -1 -0.98 -0.95
D21E01I 0.93 0.71 0.76 0.84 0.9 0.98 0.41 1 0.76 0.59 -1 -1 -1 -1 -1 -0.82 -0.98 -0.02 -1 0.15 0.57 -1 -0.99 -0.91 0.47 -1 -0.7 -1 -0.99 -0.98 -1 -1 -0.95 -1 -0.99 -1 -1 -1 -1 -0.83 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -0.94 -1 -1 0.19 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D21E02I 0.89 0.64 0.69 0.78 0.85 0.97 0.36 0.99 0.69 0.53 -1 -1 -1 -1 -1 -0.97 -1 -0.94 -1 -0.95 -0.52 -1 -1 -1 -0.42 -1 -0.94 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.84 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -0.69 -1 -1 -1 -1 -0.83 -0.99 -1 0.13 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1
D21E03I 0.91 0.69 0.74 0.8 0.89 0.97 0.39 0.95 0.74 0.56 -1 -0.97 -1 -1 -1 -0.95 -1 0.13 -1 -0.61 -0.64 -0.78 -0.96 -0.96 0.05 -1 -0.96 -1 -1 -0.99 -1 -1 -0.94 -1 -0.96 -1 -0.98 -1 -0.99 -0.87 -1 -1 0 -1 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.87 -0.99 -0.93 -1 -0.69 -1 -1 -1 -0.99 -0.34 -0.99 -1 0.16 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1
D21E04I 0.98 0.83 0.87 0.93 0.96 1 0.54 1 0.87 0.72 -1 -0.99 -1 -1 -1 -0.79 -0.95 -0.18 -1 -0.97 -0.79 -1 -0.91 -1 0.6 -1 -0.91 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -0.68 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.89 -1 -1 -1 -0.83 -1 -1 -1 -0.99 -0.99 -1 -1 0.6 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1
D21E05I 0.98 0.84 0.88 0.93 0.97 1 0.55 0.98 0.88 0.74 -1 -0.48 -0.98 -1 -1 -0.76 -1 0.12 -0.86 -0.1 0.94 -0.66 -0.97 -0.74 0.95 -0.97 -0.18 -0.91 -0.84 -0.68 -1 -0.96 -0.82 -0.99 -0.96 -1 -0.99 -0.99 -1 -0.97 -1 -1 -0.96 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -0.94 -1 -0.94 -1 -1 -1 -0.86 0.34 -1 -1 -0.18 -1 -1 -1 -1 -0.99 -1 -1 -0.98 -1 -1 -1 -1
D21E06I 0.88 0.63 0.68 0.77 0.84 0.96 0.35 0.98 0.68 0.51 -1 -0.99 -1 -1 -1 -0.99 -1 -0.93 -1 -0.94 -0.42 -0.99 -0.99 -1 0.11 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -0.74 -1 -1 -1 -1 -0.82 -1 -1 0.29 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1
D21E07I 0.96 0.79 0.83 0.9 0.95 0.99 0.49 1 0.83 0.68 -1 -0.98 -1 -1 -1 -0.92 -1 -0.98 -1 -0.91 -0.8 -0.98 -1 -1 -0.27 -1 -1 -1 -1 -1 -1 -1 -0.68 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.98 -1 -1 -1 -1 -1 -1 -0.75 -1 -1 0.31 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D21E08I 0.89 0.66 0.7 0.78 0.85 0.97 0.37 0.99 0.7 0.54 -1 -0.97 -1 -1 -1 -1 -1 -0.85 -1 -0.89 -0.21 -0.97 -0.99 -1 0.58 -1 -1 -1 -1 -1 -1 -1 -0.94 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.81 -1 -1 -1 -1 -0.87 -1 -1 -0.1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D21E09I 0.89 0.64 0.69 0.78 0.85 0.97 0.36 0.99 0.69 0.53 -1 -1 -1 -1 -1 -1 -1 -0.48 -1 -0.9 -0.52 -1 -1 -1 0.29 -1 -0.94 -1 -1 -1 -1 -1 -0.98 -1 -0.97 -1 -1 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -1 -1 -1 -1 -0.98 -1 -1 0.39 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1
D21E10I 0.94 0.74 0.78 0.85 0.91 0.99 0.44 1 0.78 0.62 -0.99 -0.77 -1 -0.99 -1 -0.94 -0.97 0.31 -1 0.22 0.93 -0.94 -0.53 -0.29 0.74 -0.99 -0.06 -0.81 -0.97 -0.9 -1 -1 -0.3 -1 -0.91 -1 -1 -1 -0.97 -0.87 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -0.92 -0.99 -1 -1 -0.92 -1 -1 -1 -1 -0.81 -1 -1 -0.53 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D28E01I 0.88 0.63 0.68 0.77 0.84 0.96 0.35 0.91 0.68 0.51 -1 -0.99 -1 -1 -1 -1 -1 -0.4 -1 -0.97 -0.88 -0.99 -1 -0.99 -0.58 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -0.98 -1 -1 -1 -0.99 -0.79 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.31 -1 -1 0.01 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1
D28E02I 0.94 0.72 0.78 0.85 0.91 0.99 0.42 1 0.78 0.6 -1 -0.91 -1 -1 -1 -0.98 -1 0.2 -1 -0.83 -0.62 -0.99 -1 -1 0.3 -1 -0.97 -1 -1 -1 -1 -1 -0.98 -1 -0.99 -1 -1 -1 -0.95 -0.85 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.68 -1 -1 0.35 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D28E03I 0.91 0.67 0.72 0.79 0.88 0.97 0.37 0.99 0.72 0.55 -1 -0.83 -1 -1 -1 -0.91 -0.99 0.24 -1 -0.52 -0.57 -0.98 -0.98 -1 0.11 -1 -0.9 -1 -1 -1 -1 -1 -0.96 -1 -0.94 -1 -1 -1 -0.98 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.88 -1 -1 0.04 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D28E04I 0.88 0.62 0.68 0.76 0.84 0.96 0.36 0.99 0.68 0.5 -1 -0.74 -1 -1 -1 -1 -1 0.03 -1 -0.67 0.03 -0.97 -1 -0.99 0.48 -1 -0.86 -1 -1 -1 -1 -1 -0.99 -1 -0.97 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -0.95 -1 -1 -1 -1 -0.96 -1 -1 -0.86 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D28E05I 0.94 0.75 0.8 0.85 0.92 0.99 0.44 1 0.8 0.63 -1 -0.75 -0.94 -0.96 -1 -0.71 -1 0.83 -0.99 0.67 0.88 -0.75 -0.66 -0.26 0.97 -0.88 -0.66 -0.96 -0.83 -0.98 -1 -1 0.25 -0.97 -0.97 -0.96 -1 -1 -0.92 -0.6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -0.99 -1 -1 -1 -0.69 -1 -1 -1 -1 0.88 -1 -1 0.95 -1 -1 -1 -1 -0.92 -1 -1 -1 -1 -1 -1 -1
D28E06I 0.99 0.9 0.93 0.96 0.99 1 0.63 1 0.93 0.81 -0.97 0.35 -0.55 -0.89 -0.96 -0.34 -0.9 0.94 -0.98 0.56 0.99 0.7 -0.06 -0.62 1 -0.58 -0.06 -0.78 -0.62 -0.52 -1 -0.41 0.56 -0.75 0.42 -0.94 -0.69 -1 -0.71 -0.07 -1 -0.99 -0.87 -0.89 -0.99 -1 -1 -1 -1 -0.92 -1 -1 -1 -1 -0.99 0 -0.99 -1 -1 -0.92 -1 -1 -1 -1 0.74 -0.95 -1 0.89 -0.96 -1 -1 -1 -0.96 -1 -0.99 -1 -1 -1 -1 -1
D28E07I 0.99 0.88 0.91 0.95 0.98 1 0.59 1 0.91 0.78 -1 -0.55 -1 -1 -0.99 -0.26 -0.68 0.47 -1 0.02 0.94 -0.71 -0.7 -0.52 1 -0.96 0.03 -0.75 -0.87 -0.53 -1 -0.93 0.25 -0.63 0.13 -0.52 -0.9 -0.98 -0.48 0.14 -1 -1 -0.99 -1 -1 -0.99 -0.99 -1 -1 -0.99 -1 -1 -1 -1 -1 -0.99 0 -0.83 -1 -0.63 -1 -1 -1 -0.98 0.37 -0.98 -1 0.84 -1 -1 -1 -1 -0.91 -1 -1 -0.98 -1 -1 -1 -0.99
D28E08I 0.86 0.61 0.66 0.73 0.82 0.74 0.33 0.98 0.66 0.49 -0.98 -0.69 -1 -0.99 -0.96 -0.97 -0.87 0.32 -0.99 0.07 0.62 -0.84 -0.53 -0.55 0.78 -0.88 0.01 -0.54 -0.83 -0.73 -1 -0.98 -0.42 -0.99 -0.66 -0.99 -0.8 -0.99 -0.94 0.24 -1 -1 -0.93 -1 -0.94 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.83 0 -1 -1 -1 -1 -1 -1 -0.21 -0.92 -1 -0.27 -1 -1 -1 -1 -0.46 -1 -0.99 -0.88 -1 -1 -1 -0.99
D28E09I 0.96 0.79 0.84 0.89 0.94 0.99 0.48 1 0.84 0.67 -1 -0.96 -1 -1 -1 -0.84 -0.99 0.97 -1 0.36 0.79 -0.92 -0.95 -0.91 0.97 -1 -0.62 -1 -0.98 -0.84 -1 -0.98 -0.9 -1 -0.78 -1 -1 -1 -0.95 -0.26 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -0.93 -1 -1 -1 -1 -0.36 -1 -1 0.97 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1
D28E10I 0.97 0.81 0.85 0.91 0.96 1 0.51 1 0.85 0.69 -0.78 -0.73 -0.97 -0.58 -0.72 -0.87 0.37 0.47 -0.96 0.66 0.91 -0.39 -0.69 0.2 0.96 -0.48 0.9 0.67 0.35 -0.06 -0.99 -0.7 0.85 -0.05 -0.83 -0.58 0 -0.7 -0.81 0.52 -0.98 -0.69 -0.69 -0.83 -0.94 -0.74 -1 -0.81 -0.96 -0.92 -0.99 -1 -1 -0.95 -0.69 -0.92 -0.63 -1 -0.93 0 -1 -1 -1 -1 0.85 -1 -0.98 0.12 -1 -0.96 -0.93 -0.78 -0.92 -0.92 -0.78 -0.39 -0.94 -0.96 -0.99 -0.53
D35E01I 0.87 0.62 0.67 0.75 0.83 0.95 0.33 0.98 0.67 0.49 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -0.97 -0.97 -1 -1 -1 -0.88 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D35E02I 0.93 0.71 0.76 0.84 0.9 0.98 0.41 1 0.76 0.59 -1 -0.77 -1 -1 -1 -0.96 -0.98 0.22 -1 0.15 0.12 -0.99 -0.96 -0.71 0.47 -0.99 -0.83 -0.98 -0.99 -0.99 -1 -1 -0.95 -1 -0.91 -1 -1 -1 -1 -0.71 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -0.94 -1 -1 -0.32 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1
D35E03I 0.96 0.79 0.83 0.88 0.94 0.99 0.48 1 0.83 0.65 -1 -1 -1 -1 -1 -0.94 -0.98 -0.02 -1 -0.72 -0.05 -1 -0.94 -0.98 0.66 -0.98 -0.09 -0.98 -0.99 -0.99 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 0.15 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D35E04I 0.91 0.68 0.73 0.8 0.87 0.97 0.39 0.99 0.73 0.56 -0.99 -0.67 -1 -0.92 -0.96 -0.9 -0.79 0.84 -1 0.81 0.68 -0.67 -0.17 -0.31 0.99 -0.89 0.37 -0.7 -0.78 -0.59 -1 -0.99 -0.26 -0.98 0.15 -0.99 -0.71 -1 -0.91 0.43 -1 -1 -0.99 -0.99 -0.86 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 0 -0.43 -0.98 -1 0.95 -1 -1 -1 -1 -0.92 -1 -1 -0.99 -1 -1 -1 -1
D35E05I 1 0.99 0.99 1 0.99 1 0.84 1 0.99 0.95 -0.79 0.78 -0.61 -0.16 -0.97 0.97 0.62 0.24 -0.77 0.87 1 0.38 0.88 -0.05 0.85 0.46 1 0.62 0.7 0.96 -0.97 -0.35 0.74 0.37 0.32 0.04 0.53 0.04 0.21 -0.2 -0.94 -0.83 -0.34 -0.99 0.34 -0.82 -0.75 -0.87 -0.98 -0.81 -0.31 -0.68 -0.88 -0.96 0.88 0.74 0.37 -0.21 -0.36 0.85 -1 -0.94 -1 -0.43 0 -0.88 -0.97 0.62 -0.79 -0.65 -0.61 -0.98 -0.64 -0.77 -0.75 0.07 -0.97 -0.89 -0.99 -0.61
D35E06I 0.99 0.88 0.91 0.95 0.98 1 0.59 1 0.91 0.78 -0.99 -0.99 -1 -1 -1 -0.7 -0.9 -0.1 -1 -0.54 0.23 -0.97 -0.88 -0.89 0.71 -0.98 -0.4 -0.87 -0.97 -0.7 -1 -1 0.05 -0.98 -0.99 -1 -1 -0.98 -0.86 -0.92 -1 -0.99 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.95 -0.98 -0.92 -1 -1 -1 -1 -1 -0.98 -0.88 0 -1 0.03 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D35E07I 0.96 0.77 0.82 0.88 0.94 0.99 0.46 1 0.82 0.65 -1 -0.95 -1 -1 -1 -0.98 -1 0.68 -1 0.38 0.07 -1 -0.96 -0.94 0.96 -0.99 -0.75 -0.99 -1 -0.99 -1 -1 -0.83 -1 -0.97 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -0.97 -1 0 0.82 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D35E08I 0.99 0.9 0.93 0.96 0.99 1 0.63 1 0.93 0.81 0.12 0.99 -0.26 0.47 -0.39 0.54 0.52 -0.14 0.07 0.76 1 0.85 0.6 0.27 0.43 0.58 0.99 0.91 0.41 0.25 0.31 0.64 0.76 0.83 0.3 0.65 0.48 0.3 0.69 0.81 0.19 0.13 0.16 0.6 -0.18 0.29 0.31 -0.1 0.39 -0.53 0.01 0.35 0.04 -0.86 0.95 0.89 0.84 -0.27 0.97 0.12 -0.99 -0.32 0.15 0.95 0.62 0.03 0.82 0 0.57 0.18 -0.42 -0.84 0.79 -0.21 0.59 -0.03 -0.93 -0.57 -0.86 -0.17
D35E09I 0.96 0.77 0.82 0.88 0.94 0.99 0.47 0.99 0.82 0.65 -1 -0.99 -1 -1 -1 -0.98 -0.99 -0.65 -1 -0.98 -0.89 -1 -0.97 -1 -0.17 -1 -0.9 -1 -1 -0.98 -1 -1 -0.67 -1 -0.96 -1 -0.97 -1 -0.95 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 -0.79 -1 -1 0.57 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D35E10I 0.89 0.66 0.7 0.78 0.4 0.97 0.37 0.93 0.7 0.54 -1 -0.76 -0.99 -1 -1 -0.99 -1 -0.15 -1 -0.64 0.31 -0.97 -0.94 -0.91 0.39 -1 -0.87 -1 -1 -1 -1 -1 -0.79 -0.98 -0.84 -1 -0.99 -1 -0.98 -0.89 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -1 -1 -1 -1 -0.65 -1 -1 0.18 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D42E01I 0.91 0.68 0.73 0.8 0.87 0.84 0.39 0.99 0.73 0.56 -1 -0.96 -1 -1 -1 -0.99 -0.99 0.07 -1 -0.25 -0.28 -0.99 -0.99 -0.97 0.61 -1 -0.77 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -0.98 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.93 -1 -1 -1 -1 -0.61 -1 -1 -0.42 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1
D42E02I 0.8 0.54 0.59 0.68 0.16 0.92 0.29 0.81 0.59 0.42 -1 -0.9 -1 -1 -1 -1 -1 -0.26 -1 -0.96 -0.81 -0.99 -1 -1 -0.93 -1 -0.99 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.78 -1 -1 -1 -1 -0.98 -1 -1 -0.84 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1
D42E03I 0.99 0.91 0.93 0.96 0.99 1 0.64 1 0.93 0.82 -0.99 -0.88 -0.95 -0.98 -0.93 -0.46 0.12 -0.76 -0.97 0.43 0.19 -0.34 0.15 -0.48 0.98 0.02 0.98 0.5 -0.06 -0.39 -1 -0.99 0.24 -0.27 -0.01 -0.72 -0.92 -0.82 -0.59 -0.66 -1 -0.99 -0.98 -0.99 -0.99 -0.98 -1 -1 -0.99 -1 -0.98 -1 -1 -1 -0.92 -0.96 -0.91 -0.46 -0.99 -0.92 -1 -0.99 -1 -0.92 -0.64 -1 -1 0.79 -1 -1 -1 -1 0 -1 -0.99 -0.95 -1 -1 -1 -1
D42E04I 0.89 0.64 0.69 0.77 0.85 0.97 0.37 0.99 0.69 0.53 -1 -0.82 -1 -1 -1 -1 -1 -0.91 -1 -0.74 -0.73 -0.96 -0.98 -0.99 -0.28 -1 -0.9 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -0.99 -0.87 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.92 -1 -1 -1 -1 -0.77 -1 -1 -0.21 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1
D42E05I 0.96 0.79 0.83 0.88 0.94 0.99 0.48 1 0.83 0.65 -1 -0.28 -1 -1 -1 -0.94 -1 -0.02 -1 -0.83 -0.05 -0.81 -0.97 -1 0.66 -1 -0.89 -1 -1 -0.99 -1 -1 -0.85 -1 -0.95 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -0.99 -1 -0.78 -1 -1 -1 -1 -0.75 -1 -1 0.59 -1 -1 -1 -1 -0.99 -1 0 -1 -1 -1 -1 -1
